Station,Country,Lon,Lat,Date,Precipitation
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-01,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-02,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-03,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-04,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-05,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-06,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-07,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-08,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-09,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-10,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-11,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-12,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-13,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-14,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-15,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-16,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-17,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-18,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-19,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-20,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-21,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-22,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-23,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-24,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-25,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-26,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-27,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-28,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-29,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-30,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-01-31,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-01,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-02,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-03,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-04,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-05,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-06,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-07,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-08,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-09,0.035607554
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-10,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-11,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-12,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-13,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-14,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-15,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-16,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-17,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-18,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-19,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-20,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-21,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-22,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-23,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-24,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-25,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-26,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-27,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-02-28,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-01,0.8937684
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-02,2.869997
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-03,2.440383
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-04,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-05,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-06,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-07,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-08,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-09,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-10,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-11,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-12,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-13,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-14,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-15,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-16,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-17,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-18,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-19,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-20,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-21,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-22,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-23,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-24,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-25,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-26,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-27,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-28,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-29,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-30,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-03-31,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-01,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-02,1.890132
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-03,1.660445
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-04,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-05,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-06,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-07,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-08,
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-09,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-10,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-11,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-12,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-13,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-14,1.571893
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-15,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-16,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-17,2.590494
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-18,14.08927
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-19,4.685042
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-20,22.43197
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-21,0
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-22,1.213275
BOBO-DIOULASSO,Burkina,-4.3,11.16666,1983-04-23,1.63985
