Station,Country,Lon,Lat,Date,Precipitation
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-01,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-02,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-03,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-04,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-05,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-06,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-07,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-08,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-09,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-10,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-11,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-12,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-13,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-14,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-15,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-16,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-17,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-18,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-19,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-20,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-21,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-22,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-23,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-24,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-25,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-26,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-27,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-28,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-29,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-30,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-01-31,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-01,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-02,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-03,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-04,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-05,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-06,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-07,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-08,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-09,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-10,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-11,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-12,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-13,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-14,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-15,
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-16,0
DEDOUGOU,Burkina,-3.48333,12.46666,1983-02-17,0
