Country,Station,Year,Extreme_Precipitation
Burkina,BOROMO,1983,46.30005
Burkina,BOROMO,1984,27.04067
Burkina,BOROMO,1985,52.1764
Burkina,BOROMO,1986,30.49227
Burkina,BOROMO,1987,34.83494
Burkina,BOROMO,1988,32.72085
Burkina,BOROMO,1989,39.37975
Burkina,BOROMO,1990,23.20338
Burkina,BOROMO,1991,51.86123
Burkina,BOROMO,1992,47.18681
Burkina,BOROMO,1993,77.64379
Burkina,BOROMO,1994,42.47055
Burkina,BOROMO,1995,34.56483
Burkina,BOROMO,1996,40.44578
Burkina,BOROMO,1997,44.38202
Burkina,BOROMO,1998,67.78905
Burkina,BOROMO,1999,66.62481
Burkina,BOROMO,2000,27.55111
Burkina,BOROMO,2001,33.76595
Burkina,BOROMO,2002,33.67434
Burkina,BOROMO,2003,67.81662
Burkina,BOROMO,2004,36.09809
Burkina,BOROMO,2005,32.98276
Burkina,BOROMO,2006,28.74638
Burkina,BOROMO,2007,36.27835
Burkina,BOROMO,2008,53.86981
Burkina,BOROMO,2009,48.35326
Burkina,BOROMO,2010,37.35645
Burkina,BOROMO,2011,56.23566
Burkina,BOROMO,2012,43.61529
Burkina,BOROMO,2013,40.25103
Burkina,BOROMO,2014,42.96746
Burkina,BOROMO,2015,37.4571
Burkina,BOROMO,2016,39.64545
Burkina,BOROMO,2017,41.98244
Burkina,BOROMO,2018,45.35522
Burkina,BOROMO,2019,55.13775
Burkina,BOROMO,2020,36.04167
Burkina,BOROMO,2021,43.11111
Burkina,BOROMO,2022,28.16666
