Country,Station,Year,Extreme_Precipitation
Burkina,DEDOUGOU,1983,61.36693
Burkina,DEDOUGOU,1984,58.21111
Burkina,DEDOUGOU,1985,41.54527
Burkina,DEDOUGOU,1986,27.94762
Burkina,DEDOUGOU,1987,50.09834
Burkina,DEDOUGOU,1988,33.70678
Burkina,DEDOUGOU,1989,30.49135
Burkina,DEDOUGOU,1990,34.92197
Burkina,DEDOUGOU,1991,38.78347
Burkina,DEDOUGOU,1992,23.16125
Burkina,DEDOUGOU,1993,43.32435
Burkina,DEDOUGOU,1994,43.38754
Burkina,DEDOUGOU,1995,33.18018
Burkina,DEDOUGOU,1996,33.13019
Burkina,DEDOUGOU,1997,35.3421
Burkina,DEDOUGOU,1998,42.11821
Burkina,DEDOUGOU,1999,54.26456
Burkina,DEDOUGOU,2000,28.01268
Burkina,DEDOUGOU,2001,29.34946
Burkina,DEDOUGOU,2002,28.91413
Burkina,DEDOUGOU,2003,83.65588
Burkina,DEDOUGOU,2004,32.78998
Burkina,DEDOUGOU,2005,40.7201
Burkina,DEDOUGOU,2006,27.02277
Burkina,DEDOUGOU,2007,67.71192
Burkina,DEDOUGOU,2008,35.95425
Burkina,DEDOUGOU,2009,58.26658
Burkina,DEDOUGOU,2010,34.03204
Burkina,DEDOUGOU,2011,28.69551
Burkina,DEDOUGOU,2012,55.99285
Burkina,DEDOUGOU,2013,35.215
Burkina,DEDOUGOU,2014,37.33901
Burkina,DEDOUGOU,2015,32.53268
Burkina,DEDOUGOU,2016,44.51892
Burkina,DEDOUGOU,2017,33.93108
Burkina,DEDOUGOU,2018,39.79023
Burkina,DEDOUGOU,2019,44.55441
Burkina,DEDOUGOU,2020,35.20833
Burkina,DEDOUGOU,2021,33.72222
Burkina,DEDOUGOU,2022,37.55556
