Country,Station,Year,Extreme_Precipitation
Burkina,FADA-N_GOURMA,1983,71.21443
Burkina,FADA-N_GOURMA,1984,26.7517
Burkina,FADA-N_GOURMA,1985,53.67317
Burkina,FADA-N_GOURMA,1986,40.44143
Burkina,FADA-N_GOURMA,1987,47.33813
Burkina,FADA-N_GOURMA,1988,59.31783
Burkina,FADA-N_GOURMA,1989,28.36089
Burkina,FADA-N_GOURMA,1990,35.27845
Burkina,FADA-N_GOURMA,1991,63.44027
Burkina,FADA-N_GOURMA,1992,68.57279
Burkina,FADA-N_GOURMA,1993,32.76302
Burkina,FADA-N_GOURMA,1994,81.38765
Burkina,FADA-N_GOURMA,1995,46.82758
Burkina,FADA-N_GOURMA,1996,35.8147
Burkina,FADA-N_GOURMA,1997,40.26544
Burkina,FADA-N_GOURMA,1998,40.47589
Burkina,FADA-N_GOURMA,1999,71.12408
Burkina,FADA-N_GOURMA,2000,30.91769
Burkina,FADA-N_GOURMA,2001,41.31408
Burkina,FADA-N_GOURMA,2002,31.71788
Burkina,FADA-N_GOURMA,2003,44.15115
Burkina,FADA-N_GOURMA,2004,30.14416
Burkina,FADA-N_GOURMA,2005,46.25448
Burkina,FADA-N_GOURMA,2006,47.06316
Burkina,FADA-N_GOURMA,2007,46.41329
Burkina,FADA-N_GOURMA,2008,55.9307
Burkina,FADA-N_GOURMA,2009,40.78952
Burkina,FADA-N_GOURMA,2010,35.07089
Burkina,FADA-N_GOURMA,2011,55.31813
Burkina,FADA-N_GOURMA,2012,54.88126
Burkina,FADA-N_GOURMA,2013,32.80854
Burkina,FADA-N_GOURMA,2014,27.89169
Burkina,FADA-N_GOURMA,2015,55.79835
Burkina,FADA-N_GOURMA,2016,44.81673
Burkina,FADA-N_GOURMA,2017,42.04033
Burkina,FADA-N_GOURMA,2018,31.55446
Burkina,FADA-N_GOURMA,2019,50.16558
Burkina,FADA-N_GOURMA,2020,33.94444
Burkina,FADA-N_GOURMA,2021,38.55556
Burkina,FADA-N_GOURMA,2022,27
