Country,Station,Year,Extreme_Precipitation
Burkina,GAOUA,1983,32.96402
Burkina,GAOUA,1984,37.9796
Burkina,GAOUA,1985,69.9444
Burkina,GAOUA,1986,62.3691
Burkina,GAOUA,1987,63.69313
Burkina,GAOUA,1988,65.38766
Burkina,GAOUA,1989,34.87307
Burkina,GAOUA,1990,34.00479
Burkina,GAOUA,1991,58.03799
Burkina,GAOUA,1992,68.80836
Burkina,GAOUA,1993,29.11848
Burkina,GAOUA,1994,65.68999
Burkina,GAOUA,1995,39.89155
Burkina,GAOUA,1996,53.70069
Burkina,GAOUA,1997,53.4858
Burkina,GAOUA,1998,46.03794
Burkina,GAOUA,1999,35.49968
Burkina,GAOUA,2000,39.75325
Burkina,GAOUA,2001,67.94566
Burkina,GAOUA,2002,36.49503
Burkina,GAOUA,2003,49.40144
Burkina,GAOUA,2004,55.53304
Burkina,GAOUA,2005,34.00962
Burkina,GAOUA,2006,54.6838
Burkina,GAOUA,2007,40.67368
Burkina,GAOUA,2008,56.21542
Burkina,GAOUA,2009,43.55143
Burkina,GAOUA,2010,45.62051
Burkina,GAOUA,2011,39.97909
Burkina,GAOUA,2012,42.48409
Burkina,GAOUA,2013,67.69723
Burkina,GAOUA,2014,58.44232
Burkina,GAOUA,2015,44.80267
Burkina,GAOUA,2016,45.70177
Burkina,GAOUA,2017,58.82719
Burkina,GAOUA,2018,63.12482
Burkina,GAOUA,2019,44.92778
Burkina,GAOUA,2020,50.39583
Burkina,GAOUA,2021,36
Burkina,GAOUA,2022,34.83333
