Country,Station,Year,Extreme_Precipitation
Burkina,MANGODARA,1983,32.13232
Burkina,MANGODARA,1984,62.09326
Burkina,MANGODARA,1985,85.78448
Burkina,MANGODARA,1986,36.16975
Burkina,MANGODARA,1987,56.50837
Burkina,MANGODARA,1988,78.55871
Burkina,MANGODARA,1989,35.82748
Burkina,MANGODARA,1990,88.79837
Burkina,MANGODARA,1991,36.82696
Burkina,MANGODARA,1992,29.45984
Burkina,MANGODARA,1993,63.7325
Burkina,MANGODARA,1994,68.64589
Burkina,MANGODARA,1995,47.24849
Burkina,MANGODARA,1996,38.21861
Burkina,MANGODARA,1997,61.25163
Burkina,MANGODARA,1998,36.22623
Burkina,MANGODARA,1999,31.70933
Burkina,MANGODARA,2000,31.95407
Burkina,MANGODARA,2001,51.29397
Burkina,MANGODARA,2002,33.21145
Burkina,MANGODARA,2003,33.88939
Burkina,MANGODARA,2004,27.41632
Burkina,MANGODARA,2005,33.75942
Burkina,MANGODARA,2006,44.76379
Burkina,MANGODARA,2007,25.28424
Burkina,MANGODARA,2008,34.43472
Burkina,MANGODARA,2009,34.91848
Burkina,MANGODARA,2010,45.01614
Burkina,MANGODARA,2011,32.10103
Burkina,MANGODARA,2012,27.53377
Burkina,MANGODARA,2013,39.16648
Burkina,MANGODARA,2014,35.46061
Burkina,MANGODARA,2015,33.63614
Burkina,MANGODARA,2016,30.13432
Burkina,MANGODARA,2017,33.04682
Burkina,MANGODARA,2018,38.85675
Burkina,MANGODARA,2019,44.86744
Burkina,MANGODARA,2020,35.86666
Burkina,MANGODARA,2021,36
Burkina,MANGODARA,2022,27
