Country,Station,Year,Extreme_Precipitation
Burkina,OUAGADOUGOU,1983,45.77264
Burkina,OUAGADOUGOU,1984,68.9152
Burkina,OUAGADOUGOU,1985,27.84364
Burkina,OUAGADOUGOU,1986,36.04921
Burkina,OUAGADOUGOU,1987,59.63147
Burkina,OUAGADOUGOU,1988,30.87231
Burkina,OUAGADOUGOU,1989,47.64005
Burkina,OUAGADOUGOU,1990,29.7739
Burkina,OUAGADOUGOU,1991,66.11855
Burkina,OUAGADOUGOU,1992,28.93092
Burkina,OUAGADOUGOU,1993,47.20924
Burkina,OUAGADOUGOU,1994,27.84325
Burkina,OUAGADOUGOU,1995,49.55916
Burkina,OUAGADOUGOU,1996,44.12773
Burkina,OUAGADOUGOU,1997,31.57893
Burkina,OUAGADOUGOU,1998,70.77569
Burkina,OUAGADOUGOU,1999,36.66302
Burkina,OUAGADOUGOU,2000,64.98674
Burkina,OUAGADOUGOU,2001,51.77617
Burkina,OUAGADOUGOU,2002,35.09428
Burkina,OUAGADOUGOU,2003,70.9025
Burkina,OUAGADOUGOU,2004,50.14253
Burkina,OUAGADOUGOU,2005,35.62702
Burkina,OUAGADOUGOU,2006,35.073
Burkina,OUAGADOUGOU,2007,61.32868
Burkina,OUAGADOUGOU,2008,44.43587
Burkina,OUAGADOUGOU,2009,149.0243
Burkina,OUAGADOUGOU,2010,40.61132
Burkina,OUAGADOUGOU,2011,37.61813
Burkina,OUAGADOUGOU,2012,45.99407
Burkina,OUAGADOUGOU,2013,41.95784
Burkina,OUAGADOUGOU,2014,45.62399
Burkina,OUAGADOUGOU,2015,38.85587
Burkina,OUAGADOUGOU,2016,72.84581
Burkina,OUAGADOUGOU,2017,111.7904
Burkina,OUAGADOUGOU,2018,88.78163
Burkina,OUAGADOUGOU,2019,57.37966
Burkina,OUAGADOUGOU,2020,38.75
Burkina,OUAGADOUGOU,2021,71.11111
Burkina,OUAGADOUGOU,2022,41.61111
