Station,Country,Lon,Lat,Date,Precipitation
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-01,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-02,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-03,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-04,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-05,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-06,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-07,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-08,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-09,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-10,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-11,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-12,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-13,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-14,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-15,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-16,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-17,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-18,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-19,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-20,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-21,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-22,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-23,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-24,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-25,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-26,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-27,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-28,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-29,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-30,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-01-31,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-01,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-02,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-03,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-04,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-05,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-06,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-07,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-08,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-09,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-10,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-11,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-12,0.8670027
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-13,1.781846
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-14,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-15,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-16,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-17,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-18,
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-19,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-20,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-21,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-22,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-23,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-24,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-25,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-26,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-27,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-02-28,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-03-01,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-03-02,1.289438
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-03-03,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-03-04,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-03-05,0
FADA-N_GOURMA,Burkina,0.35,12.06666,1983-03-06,0
