Station,Country,Lon,Lat,Date,Precipitation
GAOUA,Burkina,-3.18333,10.33333,1983-01-01,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-02,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-03,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-04,
GAOUA,Burkina,-3.18333,10.33333,1983-01-05,
GAOUA,Burkina,-3.18333,10.33333,1983-01-06,
GAOUA,Burkina,-3.18333,10.33333,1983-01-07,
GAOUA,Burkina,-3.18333,10.33333,1983-01-08,
GAOUA,Burkina,-3.18333,10.33333,1983-01-09,
GAOUA,Burkina,-3.18333,10.33333,1983-01-10,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-11,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-12,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-13,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-14,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-15,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-16,
GAOUA,Burkina,-3.18333,10.33333,1983-01-17,
GAOUA,Burkina,-3.18333,10.33333,1983-01-18,
GAOUA,Burkina,-3.18333,10.33333,1983-01-19,
GAOUA,Burkina,-3.18333,10.33333,1983-01-20,
GAOUA,Burkina,-3.18333,10.33333,1983-01-21,
GAOUA,Burkina,-3.18333,10.33333,1983-01-22,
GAOUA,Burkina,-3.18333,10.33333,1983-01-23,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-24,
GAOUA,Burkina,-3.18333,10.33333,1983-01-25,
GAOUA,Burkina,-3.18333,10.33333,1983-01-26,
GAOUA,Burkina,-3.18333,10.33333,1983-01-27,
GAOUA,Burkina,-3.18333,10.33333,1983-01-28,
GAOUA,Burkina,-3.18333,10.33333,1983-01-29,0
GAOUA,Burkina,-3.18333,10.33333,1983-01-30,
GAOUA,Burkina,-3.18333,10.33333,1983-01-31,
GAOUA,Burkina,-3.18333,10.33333,1983-02-01,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-02,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-03,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-04,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-05,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-06,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-07,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-08,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-09,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-10,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-11,
GAOUA,Burkina,-3.18333,10.33333,1983-02-12,2.984058
GAOUA,Burkina,-3.18333,10.33333,1983-02-13,2.656569
GAOUA,Burkina,-3.18333,10.33333,1983-02-14,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-15,
GAOUA,Burkina,-3.18333,10.33333,1983-02-16,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-17,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-18,
GAOUA,Burkina,-3.18333,10.33333,1983-02-19,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-20,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-21,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-22,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-23,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-24,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-25,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-26,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-27,0
GAOUA,Burkina,-3.18333,10.33333,1983-02-28,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-01,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-02,1.528661
GAOUA,Burkina,-3.18333,10.33333,1983-03-03,0.078627601
GAOUA,Burkina,-3.18333,10.33333,1983-03-04,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-05,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-06,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-07,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-08,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-09,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-10,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-11,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-12,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-13,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-14,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-15,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-16,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-17,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-18,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-19,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-20,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-21,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-22,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-23,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-24,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-25,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-26,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-27,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-28,0
GAOUA,Burkina,-3.18333,10.33333,1983-03-29,0.5901437
GAOUA,Burkina,-3.18333,10.33333,1983-03-30,
GAOUA,Burkina,-3.18333,10.33333,1983-03-31,0.2325929
GAOUA,Burkina,-3.18333,10.33333,1983-04-01,5.117467
GAOUA,Burkina,-3.18333,10.33333,1983-04-02,0.072612129
GAOUA,Burkina,-3.18333,10.33333,1983-04-03,8.009602
GAOUA,Burkina,-3.18333,10.33333,1983-04-04,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-05,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-06,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-07,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-08,
GAOUA,Burkina,-3.18333,10.33333,1983-04-09,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-10,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-11,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-12,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-13,0
GAOUA,Burkina,-3.18333,10.33333,1983-04-14,0
