Station,Country,Lon,Lat,Date,Precipitation
MANGODARA,Burkina,-4.35,9.9,1983-01-01,0
MANGODARA,Burkina,-4.35,9.9,1983-01-02,0
MANGODARA,Burkina,-4.35,9.9,1983-01-03,0
MANGODARA,Burkina,-4.35,9.9,1983-01-04,
MANGODARA,Burkina,-4.35,9.9,1983-01-05,
MANGODARA,Burkina,-4.35,9.9,1983-01-06,
MANGODARA,Burkina,-4.35,9.9,1983-01-07,
MANGODARA,Burkina,-4.35,9.9,1983-01-08,
MANGODARA,Burkina,-4.35,9.9,1983-01-09,
MANGODARA,Burkina,-4.35,9.9,1983-01-10,0
MANGODARA,Burkina,-4.35,9.9,1983-01-11,0
MANGODARA,Burkina,-4.35,9.9,1983-01-12,0
MANGODARA,Burkina,-4.35,9.9,1983-01-13,0
MANGODARA,Burkina,-4.35,9.9,1983-01-14,0
MANGODARA,Burkina,-4.35,9.9,1983-01-15,0
MANGODARA,Burkina,-4.35,9.9,1983-01-16,
MANGODARA,Burkina,-4.35,9.9,1983-01-17,
MANGODARA,Burkina,-4.35,9.9,1983-01-18,
MANGODARA,Burkina,-4.35,9.9,1983-01-19,
MANGODARA,Burkina,-4.35,9.9,1983-01-20,
MANGODARA,Burkina,-4.35,9.9,1983-01-21,
MANGODARA,Burkina,-4.35,9.9,1983-01-22,
MANGODARA,Burkina,-4.35,9.9,1983-01-23,0
MANGODARA,Burkina,-4.35,9.9,1983-01-24,
MANGODARA,Burkina,-4.35,9.9,1983-01-25,
MANGODARA,Burkina,-4.35,9.9,1983-01-26,
MANGODARA,Burkina,-4.35,9.9,1983-01-27,
MANGODARA,Burkina,-4.35,9.9,1983-01-28,
MANGODARA,Burkina,-4.35,9.9,1983-01-29,0
MANGODARA,Burkina,-4.35,9.9,1983-01-30,
MANGODARA,Burkina,-4.35,9.9,1983-01-31,
MANGODARA,Burkina,-4.35,9.9,1983-02-01,0
MANGODARA,Burkina,-4.35,9.9,1983-02-02,0
MANGODARA,Burkina,-4.35,9.9,1983-02-03,0
MANGODARA,Burkina,-4.35,9.9,1983-02-04,0
MANGODARA,Burkina,-4.35,9.9,1983-02-05,0
MANGODARA,Burkina,-4.35,9.9,1983-02-06,0
MANGODARA,Burkina,-4.35,9.9,1983-02-07,0
MANGODARA,Burkina,-4.35,9.9,1983-02-08,0.590618
MANGODARA,Burkina,-4.35,9.9,1983-02-09,0
MANGODARA,Burkina,-4.35,9.9,1983-02-10,0
MANGODARA,Burkina,-4.35,9.9,1983-02-11,
MANGODARA,Burkina,-4.35,9.9,1983-02-12,0.1725523
MANGODARA,Burkina,-4.35,9.9,1983-02-13,1.8
MANGODARA,Burkina,-4.35,9.9,1983-02-14,0
MANGODARA,Burkina,-4.35,9.9,1983-02-15,
MANGODARA,Burkina,-4.35,9.9,1983-02-16,0
MANGODARA,Burkina,-4.35,9.9,1983-02-17,0
MANGODARA,Burkina,-4.35,9.9,1983-02-18,
MANGODARA,Burkina,-4.35,9.9,1983-02-19,0
MANGODARA,Burkina,-4.35,9.9,1983-02-20,0
MANGODARA,Burkina,-4.35,9.9,1983-02-21,0
MANGODARA,Burkina,-4.35,9.9,1983-02-22,0
MANGODARA,Burkina,-4.35,9.9,1983-02-23,0
MANGODARA,Burkina,-4.35,9.9,1983-02-24,0
MANGODARA,Burkina,-4.35,9.9,1983-02-25,0
MANGODARA,Burkina,-4.35,9.9,1983-02-26,0
MANGODARA,Burkina,-4.35,9.9,1983-02-27,0
MANGODARA,Burkina,-4.35,9.9,1983-02-28,0
MANGODARA,Burkina,-4.35,9.9,1983-03-01,0
