Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
BOBO-DIOULASSO,Burkina,1983,56,80.1025641025641,-24.1025641025641,0,-24.1025641025641
BOBO-DIOULASSO,Burkina,1984,63,80.1025641025641,-17.1025641025641,0,-17.1025641025641
BOBO-DIOULASSO,Burkina,1985,82,80.1025641025641,1.8974358974359,1.8974358974359,0
BOBO-DIOULASSO,Burkina,1986,70,80.1025641025641,-10.1025641025641,0,-10.1025641025641
BOBO-DIOULASSO,Burkina,1987,76,80.1025641025641,-4.1025641025641,0,-4.1025641025641
BOBO-DIOULASSO,Burkina,1988,69,80.1025641025641,-11.1025641025641,0,-11.1025641025641
BOBO-DIOULASSO,Burkina,1989,64,80.1025641025641,-16.1025641025641,0,-16.1025641025641
BOBO-DIOULASSO,Burkina,1990,72,80.1025641025641,-8.1025641025641,0,-8.1025641025641
BOBO-DIOULASSO,Burkina,1991,83,80.1025641025641,2.8974358974359,2.8974358974359,0
BOBO-DIOULASSO,Burkina,1992,76,80.1025641025641,-4.1025641025641,0,-4.1025641025641
BOBO-DIOULASSO,Burkina,1993,79,80.1025641025641,-1.1025641025641,0,-1.1025641025641
BOBO-DIOULASSO,Burkina,1994,90,80.1025641025641,9.8974358974359,9.8974358974359,0
BOBO-DIOULASSO,Burkina,1995,75,80.1025641025641,-5.1025641025641,0,-5.1025641025641
BOBO-DIOULASSO,Burkina,1996,77,80.1025641025641,-3.1025641025641,0,-3.1025641025641
BOBO-DIOULASSO,Burkina,1997,74,80.1025641025641,-6.1025641025641,0,-6.1025641025641
BOBO-DIOULASSO,Burkina,1998,84,80.1025641025641,3.8974358974359,3.8974358974359,0
BOBO-DIOULASSO,Burkina,1999,90,80.1025641025641,9.8974358974359,9.8974358974359,0
BOBO-DIOULASSO,Burkina,2000,79,80.1025641025641,-1.1025641025641,0,-1.1025641025641
BOBO-DIOULASSO,Burkina,2001,78,80.1025641025641,-2.1025641025641,0,-2.1025641025641
BOBO-DIOULASSO,Burkina,2002,74,80.1025641025641,-6.1025641025641,0,-6.1025641025641
BOBO-DIOULASSO,Burkina,2003,81,80.1025641025641,0.897435897435898,0.897435897435898,0
BOBO-DIOULASSO,Burkina,2004,72,80.1025641025641,-8.1025641025641,0,-8.1025641025641
BOBO-DIOULASSO,Burkina,2005,79,80.1025641025641,-1.1025641025641,0,-1.1025641025641
BOBO-DIOULASSO,Burkina,2006,84,80.1025641025641,3.8974358974359,3.8974358974359,0
BOBO-DIOULASSO,Burkina,2007,89,80.1025641025641,8.8974358974359,8.8974358974359,0
BOBO-DIOULASSO,Burkina,2008,72,80.1025641025641,-8.1025641025641,0,-8.1025641025641
BOBO-DIOULASSO,Burkina,2009,90,80.1025641025641,9.8974358974359,9.8974358974359,0
BOBO-DIOULASSO,Burkina,2010,94,80.1025641025641,13.8974358974359,13.8974358974359,0
BOBO-DIOULASSO,Burkina,2011,82,80.1025641025641,1.8974358974359,1.8974358974359,0
BOBO-DIOULASSO,Burkina,2012,81,80.1025641025641,0.897435897435898,0.897435897435898,0
BOBO-DIOULASSO,Burkina,2013,87,80.1025641025641,6.8974358974359,6.8974358974359,0
BOBO-DIOULASSO,Burkina,2014,85,80.1025641025641,4.8974358974359,4.8974358974359,0
BOBO-DIOULASSO,Burkina,2015,80,80.1025641025641,-0.102564102564102,0,-0.102564102564102
BOBO-DIOULASSO,Burkina,2016,80,80.1025641025641,-0.102564102564102,0,-0.102564102564102
BOBO-DIOULASSO,Burkina,2017,71,80.1025641025641,-9.1025641025641,0,-9.1025641025641
BOBO-DIOULASSO,Burkina,2018,89,80.1025641025641,8.8974358974359,8.8974358974359,0
BOBO-DIOULASSO,Burkina,2019,91,80.1025641025641,10.8974358974359,10.8974358974359,0
BOBO-DIOULASSO,Burkina,2020,97,80.1025641025641,16.8974358974359,16.8974358974359,0
BOBO-DIOULASSO,Burkina,2021,109,80.1025641025641,28.8974358974359,28.8974358974359,0
