Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
BOROMO,Burkina,1983,50,76.2820512820513,-26.2820512820513,0,-26.2820512820513
BOROMO,Burkina,1984,66,76.2820512820513,-10.2820512820513,0,-10.2820512820513
BOROMO,Burkina,1985,70,76.2820512820513,-6.28205128205129,0,-6.28205128205129
BOROMO,Burkina,1986,70,76.2820512820513,-6.28205128205129,0,-6.28205128205129
BOROMO,Burkina,1987,62,76.2820512820513,-14.2820512820513,0,-14.2820512820513
BOROMO,Burkina,1988,69,76.2820512820513,-7.28205128205129,0,-7.28205128205129
BOROMO,Burkina,1989,76,76.2820512820513,-0.282051282051285,0,-0.282051282051285
BOROMO,Burkina,1990,60,76.2820512820513,-16.2820512820513,0,-16.2820512820513
BOROMO,Burkina,1991,84,76.2820512820513,7.71794871794872,7.71794871794872,0
BOROMO,Burkina,1992,84,76.2820512820513,7.71794871794872,7.71794871794872,0
BOROMO,Burkina,1993,67,76.2820512820513,-9.28205128205128,0,-9.28205128205128
BOROMO,Burkina,1994,89,76.2820512820513,12.7179487179487,12.7179487179487,0
BOROMO,Burkina,1995,71,76.2820512820513,-5.28205128205129,0,-5.28205128205129
BOROMO,Burkina,1996,77,76.2820512820513,0.717948717948715,0.717948717948715,0
BOROMO,Burkina,1997,87,76.2820512820513,10.7179487179487,10.7179487179487,0
BOROMO,Burkina,1998,86,76.2820512820513,9.71794871794872,9.71794871794872,0
BOROMO,Burkina,1999,87,76.2820512820513,10.7179487179487,10.7179487179487,0
BOROMO,Burkina,2000,83,76.2820512820513,6.71794871794872,6.71794871794872,0
BOROMO,Burkina,2001,80,76.2820512820513,3.71794871794872,3.71794871794872,0
BOROMO,Burkina,2002,67,76.2820512820513,-9.28205128205128,0,-9.28205128205128
BOROMO,Burkina,2003,82,76.2820512820513,5.71794871794872,5.71794871794872,0
BOROMO,Burkina,2004,70,76.2820512820513,-6.28205128205129,0,-6.28205128205129
BOROMO,Burkina,2005,77,76.2820512820513,0.717948717948715,0.717948717948715,0
BOROMO,Burkina,2006,83,76.2820512820513,6.71794871794872,6.71794871794872,0
BOROMO,Burkina,2007,71,76.2820512820513,-5.28205128205129,0,-5.28205128205129
BOROMO,Burkina,2008,68,76.2820512820513,-8.28205128205129,0,-8.28205128205129
BOROMO,Burkina,2009,86,76.2820512820513,9.71794871794872,9.71794871794872,0
BOROMO,Burkina,2010,72,76.2820512820513,-4.28205128205128,0,-4.28205128205128
BOROMO,Burkina,2011,64,76.2820512820513,-12.2820512820513,0,-12.2820512820513
BOROMO,Burkina,2012,80,76.2820512820513,3.71794871794872,3.71794871794872,0
BOROMO,Burkina,2013,77,76.2820512820513,0.717948717948715,0.717948717948715,0
BOROMO,Burkina,2014,80,76.2820512820513,3.71794871794872,3.71794871794872,0
BOROMO,Burkina,2015,81,76.2820512820513,4.71794871794872,4.71794871794872,0
BOROMO,Burkina,2016,79,76.2820512820513,2.71794871794872,2.71794871794872,0
BOROMO,Burkina,2017,72,76.2820512820513,-4.28205128205128,0,-4.28205128205128
BOROMO,Burkina,2018,82,76.2820512820513,5.71794871794872,5.71794871794872,0
BOROMO,Burkina,2019,89,76.2820512820513,12.7179487179487,12.7179487179487,0
BOROMO,Burkina,2020,95,76.2820512820513,18.7179487179487,18.7179487179487,0
BOROMO,Burkina,2021,82,76.2820512820513,5.71794871794872,5.71794871794872,0
