Country,Station,Year,Number_Rain_day
Burkina,BOBO-DIOULASSO,1983,56
Burkina,BOBO-DIOULASSO,1984,63
Burkina,BOBO-DIOULASSO,1985,82
Burkina,BOBO-DIOULASSO,1986,70
Burkina,BOBO-DIOULASSO,1987,76
Burkina,BOBO-DIOULASSO,1988,69
Burkina,BOBO-DIOULASSO,1989,64
Burkina,BOBO-DIOULASSO,1990,72
Burkina,BOBO-DIOULASSO,1991,83
Burkina,BOBO-DIOULASSO,1992,76
Burkina,BOBO-DIOULASSO,1993,79
Burkina,BOBO-DIOULASSO,1994,90
Burkina,BOBO-DIOULASSO,1995,75
Burkina,BOBO-DIOULASSO,1996,77
Burkina,BOBO-DIOULASSO,1997,74
Burkina,BOBO-DIOULASSO,1998,84
Burkina,BOBO-DIOULASSO,1999,90
Burkina,BOBO-DIOULASSO,2000,79
Burkina,BOBO-DIOULASSO,2001,78
Burkina,BOBO-DIOULASSO,2002,74
Burkina,BOBO-DIOULASSO,2003,81
Burkina,BOBO-DIOULASSO,2004,72
Burkina,BOBO-DIOULASSO,2005,79
Burkina,BOBO-DIOULASSO,2006,84
Burkina,BOBO-DIOULASSO,2007,89
Burkina,BOBO-DIOULASSO,2008,72
Burkina,BOBO-DIOULASSO,2009,90
Burkina,BOBO-DIOULASSO,2010,94
Burkina,BOBO-DIOULASSO,2011,82
Burkina,BOBO-DIOULASSO,2012,81
Burkina,BOBO-DIOULASSO,2013,87
Burkina,BOBO-DIOULASSO,2014,85
Burkina,BOBO-DIOULASSO,2015,80
Burkina,BOBO-DIOULASSO,2016,80
Burkina,BOBO-DIOULASSO,2017,71
Burkina,BOBO-DIOULASSO,2018,89
Burkina,BOBO-DIOULASSO,2019,91
Burkina,BOBO-DIOULASSO,2020,97
Burkina,BOBO-DIOULASSO,2021,109
Burkina,BOBO-DIOULASSO,2022,16
