Country,Station,Year,Number_Rain_day
Burkina,BOROMO,1983,50
Burkina,BOROMO,1984,66
Burkina,BOROMO,1985,70
Burkina,BOROMO,1986,70
Burkina,BOROMO,1987,62
Burkina,BOROMO,1988,69
Burkina,BOROMO,1989,76
Burkina,BOROMO,1990,60
Burkina,BOROMO,1991,84
Burkina,BOROMO,1992,84
Burkina,BOROMO,1993,67
Burkina,BOROMO,1994,89
Burkina,BOROMO,1995,71
Burkina,BOROMO,1996,77
Burkina,BOROMO,1997,87
Burkina,BOROMO,1998,86
Burkina,BOROMO,1999,87
Burkina,BOROMO,2000,83
Burkina,BOROMO,2001,80
Burkina,BOROMO,2002,67
Burkina,BOROMO,2003,82
Burkina,BOROMO,2004,70
Burkina,BOROMO,2005,77
Burkina,BOROMO,2006,83
Burkina,BOROMO,2007,71
Burkina,BOROMO,2008,68
Burkina,BOROMO,2009,86
Burkina,BOROMO,2010,72
Burkina,BOROMO,2011,64
Burkina,BOROMO,2012,80
Burkina,BOROMO,2013,77
Burkina,BOROMO,2014,80
Burkina,BOROMO,2015,81
Burkina,BOROMO,2016,79
Burkina,BOROMO,2017,72
Burkina,BOROMO,2018,82
Burkina,BOROMO,2019,89
Burkina,BOROMO,2020,95
Burkina,BOROMO,2021,82
Burkina,BOROMO,2022,10
