Country,Station,Year,Number_Rain_day
Burkina,DEDOUGOU,1983,49
Burkina,DEDOUGOU,1984,51
Burkina,DEDOUGOU,1985,63
Burkina,DEDOUGOU,1986,54
Burkina,DEDOUGOU,1987,49
Burkina,DEDOUGOU,1988,58
Burkina,DEDOUGOU,1989,60
Burkina,DEDOUGOU,1990,56
Burkina,DEDOUGOU,1991,56
Burkina,DEDOUGOU,1992,57
Burkina,DEDOUGOU,1993,55
Burkina,DEDOUGOU,1994,74
Burkina,DEDOUGOU,1995,66
Burkina,DEDOUGOU,1996,58
Burkina,DEDOUGOU,1997,74
Burkina,DEDOUGOU,1998,81
Burkina,DEDOUGOU,1999,88
Burkina,DEDOUGOU,2000,72
Burkina,DEDOUGOU,2001,79
Burkina,DEDOUGOU,2002,61
Burkina,DEDOUGOU,2003,79
Burkina,DEDOUGOU,2004,66
Burkina,DEDOUGOU,2005,62
Burkina,DEDOUGOU,2006,84
Burkina,DEDOUGOU,2007,75
Burkina,DEDOUGOU,2008,64
Burkina,DEDOUGOU,2009,83
Burkina,DEDOUGOU,2010,81
Burkina,DEDOUGOU,2011,73
Burkina,DEDOUGOU,2012,83
Burkina,DEDOUGOU,2013,75
Burkina,DEDOUGOU,2014,68
Burkina,DEDOUGOU,2015,83
Burkina,DEDOUGOU,2016,76
Burkina,DEDOUGOU,2017,64
Burkina,DEDOUGOU,2018,79
Burkina,DEDOUGOU,2019,92
Burkina,DEDOUGOU,2020,83
Burkina,DEDOUGOU,2021,84
Burkina,DEDOUGOU,2022,5
