Country,Station,Year,Number_Rain_day
Burkina,DORI,1983,38
Burkina,DORI,1984,36
Burkina,DORI,1985,43
Burkina,DORI,1986,42
Burkina,DORI,1987,47
Burkina,DORI,1988,48
Burkina,DORI,1989,47
Burkina,DORI,1990,46
Burkina,DORI,1991,45
Burkina,DORI,1992,58
Burkina,DORI,1993,46
Burkina,DORI,1994,58
Burkina,DORI,1995,43
Burkina,DORI,1996,41
Burkina,DORI,1997,55
Burkina,DORI,1998,56
Burkina,DORI,1999,60
Burkina,DORI,2000,45
Burkina,DORI,2001,58
Burkina,DORI,2002,53
Burkina,DORI,2003,66
Burkina,DORI,2004,46
Burkina,DORI,2005,52
Burkina,DORI,2006,51
Burkina,DORI,2007,48
Burkina,DORI,2008,54
Burkina,DORI,2009,63
Burkina,DORI,2010,59
Burkina,DORI,2011,60
Burkina,DORI,2012,63
Burkina,DORI,2013,59
Burkina,DORI,2014,56
Burkina,DORI,2015,65
Burkina,DORI,2016,68
Burkina,DORI,2017,56
Burkina,DORI,2018,69
Burkina,DORI,2019,63
Burkina,DORI,2020,65
Burkina,DORI,2021,65
Burkina,DORI,2022,3
