Country,Station,Year,Number_Rain_day
Burkina,FADA-N_GOURMA,1983,54
Burkina,FADA-N_GOURMA,1984,61
Burkina,FADA-N_GOURMA,1985,56
Burkina,FADA-N_GOURMA,1986,58
Burkina,FADA-N_GOURMA,1987,59
Burkina,FADA-N_GOURMA,1988,59
Burkina,FADA-N_GOURMA,1989,57
Burkina,FADA-N_GOURMA,1990,57
Burkina,FADA-N_GOURMA,1991,73
Burkina,FADA-N_GOURMA,1992,67
Burkina,FADA-N_GOURMA,1993,67
Burkina,FADA-N_GOURMA,1994,81
Burkina,FADA-N_GOURMA,1995,71
Burkina,FADA-N_GOURMA,1996,67
Burkina,FADA-N_GOURMA,1997,82
Burkina,FADA-N_GOURMA,1998,73
Burkina,FADA-N_GOURMA,1999,80
Burkina,FADA-N_GOURMA,2000,71
Burkina,FADA-N_GOURMA,2001,66
Burkina,FADA-N_GOURMA,2002,65
Burkina,FADA-N_GOURMA,2003,75
Burkina,FADA-N_GOURMA,2004,74
Burkina,FADA-N_GOURMA,2005,82
Burkina,FADA-N_GOURMA,2006,63
Burkina,FADA-N_GOURMA,2007,68
Burkina,FADA-N_GOURMA,2008,66
Burkina,FADA-N_GOURMA,2009,75
Burkina,FADA-N_GOURMA,2010,76
Burkina,FADA-N_GOURMA,2011,71
Burkina,FADA-N_GOURMA,2012,70
Burkina,FADA-N_GOURMA,2013,75
Burkina,FADA-N_GOURMA,2014,64
Burkina,FADA-N_GOURMA,2015,69
Burkina,FADA-N_GOURMA,2016,81
Burkina,FADA-N_GOURMA,2017,63
Burkina,FADA-N_GOURMA,2018,64
Burkina,FADA-N_GOURMA,2019,75
Burkina,FADA-N_GOURMA,2020,84
Burkina,FADA-N_GOURMA,2021,93
Burkina,FADA-N_GOURMA,2022,6
