Country,Station,Year,Number_Rain_day
Burkina,GAOUA,1983,59
Burkina,GAOUA,1984,81
Burkina,GAOUA,1985,92
Burkina,GAOUA,1986,88
Burkina,GAOUA,1987,81
Burkina,GAOUA,1988,76
Burkina,GAOUA,1989,89
Burkina,GAOUA,1990,80
Burkina,GAOUA,1991,90
Burkina,GAOUA,1992,77
Burkina,GAOUA,1993,97
Burkina,GAOUA,1994,94
Burkina,GAOUA,1995,89
Burkina,GAOUA,1996,84
Burkina,GAOUA,1997,88
Burkina,GAOUA,1998,82
Burkina,GAOUA,1999,105
Burkina,GAOUA,2000,97
Burkina,GAOUA,2001,78
Burkina,GAOUA,2002,68
Burkina,GAOUA,2003,94
Burkina,GAOUA,2004,89
Burkina,GAOUA,2005,73
Burkina,GAOUA,2006,85
Burkina,GAOUA,2007,83
Burkina,GAOUA,2008,79
Burkina,GAOUA,2009,93
Burkina,GAOUA,2010,82
Burkina,GAOUA,2011,85
Burkina,GAOUA,2012,94
Burkina,GAOUA,2013,75
Burkina,GAOUA,2014,82
Burkina,GAOUA,2015,82
Burkina,GAOUA,2016,94
Burkina,GAOUA,2017,76
Burkina,GAOUA,2018,88
Burkina,GAOUA,2019,97
Burkina,GAOUA,2020,93
Burkina,GAOUA,2021,109
Burkina,GAOUA,2022,17
