Country,Station,Year,Number_Rain_day
Burkina,MANGODARA,1983,55
Burkina,MANGODARA,1984,83
Burkina,MANGODARA,1985,80
Burkina,MANGODARA,1986,71
Burkina,MANGODARA,1987,83
Burkina,MANGODARA,1988,74
Burkina,MANGODARA,1989,88
Burkina,MANGODARA,1990,84
Burkina,MANGODARA,1991,87
Burkina,MANGODARA,1992,71
Burkina,MANGODARA,1993,84
Burkina,MANGODARA,1994,89
Burkina,MANGODARA,1995,82
Burkina,MANGODARA,1996,76
Burkina,MANGODARA,1997,89
Burkina,MANGODARA,1998,76
Burkina,MANGODARA,1999,107
Burkina,MANGODARA,2000,97
Burkina,MANGODARA,2001,80
Burkina,MANGODARA,2002,82
Burkina,MANGODARA,2003,94
Burkina,MANGODARA,2004,96
Burkina,MANGODARA,2005,78
Burkina,MANGODARA,2006,96
Burkina,MANGODARA,2007,107
Burkina,MANGODARA,2008,95
Burkina,MANGODARA,2009,98
Burkina,MANGODARA,2010,94
Burkina,MANGODARA,2011,109
Burkina,MANGODARA,2012,97
Burkina,MANGODARA,2013,87
Burkina,MANGODARA,2014,104
Burkina,MANGODARA,2015,93
Burkina,MANGODARA,2016,103
Burkina,MANGODARA,2017,78
Burkina,MANGODARA,2018,114
Burkina,MANGODARA,2019,111
Burkina,MANGODARA,2020,88
Burkina,MANGODARA,2021,109
Burkina,MANGODARA,2022,16
