Country,Station,Year,Number_Rain_day
Burkina,MARKOYE,1983,29
Burkina,MARKOYE,1984,24
Burkina,MARKOYE,1985,37
Burkina,MARKOYE,1986,38
Burkina,MARKOYE,1987,48
Burkina,MARKOYE,1988,47
Burkina,MARKOYE,1989,42
Burkina,MARKOYE,1990,32
Burkina,MARKOYE,1991,30
Burkina,MARKOYE,1992,41
Burkina,MARKOYE,1993,38
Burkina,MARKOYE,1994,58
Burkina,MARKOYE,1995,37
Burkina,MARKOYE,1996,33
Burkina,MARKOYE,1997,54
Burkina,MARKOYE,1998,50
Burkina,MARKOYE,1999,52
Burkina,MARKOYE,2000,55
Burkina,MARKOYE,2001,52
Burkina,MARKOYE,2002,49
Burkina,MARKOYE,2003,60
Burkina,MARKOYE,2004,41
Burkina,MARKOYE,2005,45
Burkina,MARKOYE,2006,41
Burkina,MARKOYE,2007,41
Burkina,MARKOYE,2008,51
Burkina,MARKOYE,2009,57
Burkina,MARKOYE,2010,50
Burkina,MARKOYE,2011,47
Burkina,MARKOYE,2012,62
Burkina,MARKOYE,2013,49
Burkina,MARKOYE,2014,50
Burkina,MARKOYE,2015,59
Burkina,MARKOYE,2016,50
Burkina,MARKOYE,2017,56
Burkina,MARKOYE,2018,58
Burkina,MARKOYE,2019,54
Burkina,MARKOYE,2020,55
Burkina,MARKOYE,2021,56
Burkina,MARKOYE,2022,1
