Country,Station,Year,Number_Rain_day
Burkina,OUAGADOUGOU,1983,52
Burkina,OUAGADOUGOU,1984,64
Burkina,OUAGADOUGOU,1985,55
Burkina,OUAGADOUGOU,1986,62
Burkina,OUAGADOUGOU,1987,57
Burkina,OUAGADOUGOU,1988,61
Burkina,OUAGADOUGOU,1989,65
Burkina,OUAGADOUGOU,1990,57
Burkina,OUAGADOUGOU,1991,62
Burkina,OUAGADOUGOU,1992,68
Burkina,OUAGADOUGOU,1993,65
Burkina,OUAGADOUGOU,1994,73
Burkina,OUAGADOUGOU,1995,73
Burkina,OUAGADOUGOU,1996,63
Burkina,OUAGADOUGOU,1997,63
Burkina,OUAGADOUGOU,1998,66
Burkina,OUAGADOUGOU,1999,83
Burkina,OUAGADOUGOU,2000,60
Burkina,OUAGADOUGOU,2001,66
Burkina,OUAGADOUGOU,2002,57
Burkina,OUAGADOUGOU,2003,71
Burkina,OUAGADOUGOU,2004,69
Burkina,OUAGADOUGOU,2005,70
Burkina,OUAGADOUGOU,2006,63
Burkina,OUAGADOUGOU,2007,55
Burkina,OUAGADOUGOU,2008,55
Burkina,OUAGADOUGOU,2009,69
Burkina,OUAGADOUGOU,2010,70
Burkina,OUAGADOUGOU,2011,64
Burkina,OUAGADOUGOU,2012,66
Burkina,OUAGADOUGOU,2013,67
Burkina,OUAGADOUGOU,2014,67
Burkina,OUAGADOUGOU,2015,79
Burkina,OUAGADOUGOU,2016,73
Burkina,OUAGADOUGOU,2017,59
Burkina,OUAGADOUGOU,2018,68
Burkina,OUAGADOUGOU,2019,71
Burkina,OUAGADOUGOU,2020,79
Burkina,OUAGADOUGOU,2021,85
Burkina,OUAGADOUGOU,2022,5
