Country,Station,Year,Number_Rain_day
Burkina,OUAHIGOUYA,1983,41
Burkina,OUAHIGOUYA,1984,44
Burkina,OUAHIGOUYA,1985,54
Burkina,OUAHIGOUYA,1986,58
Burkina,OUAHIGOUYA,1987,54
Burkina,OUAHIGOUYA,1988,47
Burkina,OUAHIGOUYA,1989,50
Burkina,OUAHIGOUYA,1990,45
Burkina,OUAHIGOUYA,1991,60
Burkina,OUAHIGOUYA,1992,67
Burkina,OUAHIGOUYA,1993,59
Burkina,OUAHIGOUYA,1994,77
Burkina,OUAHIGOUYA,1995,56
Burkina,OUAHIGOUYA,1996,56
Burkina,OUAHIGOUYA,1997,67
Burkina,OUAHIGOUYA,1998,62
Burkina,OUAHIGOUYA,1999,68
Burkina,OUAHIGOUYA,2000,55
Burkina,OUAHIGOUYA,2001,50
Burkina,OUAHIGOUYA,2002,54
Burkina,OUAHIGOUYA,2003,69
Burkina,OUAHIGOUYA,2004,54
Burkina,OUAHIGOUYA,2005,63
Burkina,OUAHIGOUYA,2006,59
Burkina,OUAHIGOUYA,2007,54
Burkina,OUAHIGOUYA,2008,60
Burkina,OUAHIGOUYA,2009,60
Burkina,OUAHIGOUYA,2010,60
Burkina,OUAHIGOUYA,2011,56
Burkina,OUAHIGOUYA,2012,64
Burkina,OUAHIGOUYA,2013,54
Burkina,OUAHIGOUYA,2014,60
Burkina,OUAHIGOUYA,2015,68
Burkina,OUAHIGOUYA,2016,65
Burkina,OUAHIGOUYA,2017,55
Burkina,OUAHIGOUYA,2018,75
Burkina,OUAHIGOUYA,2019,71
Burkina,OUAHIGOUYA,2020,73
Burkina,OUAHIGOUYA,2021,66
Burkina,OUAHIGOUYA,2022,2
