Country,Station,Year,Number_Rain_day
Burkina,PO,1983,47
Burkina,PO,1984,70
Burkina,PO,1985,64
Burkina,PO,1986,69
Burkina,PO,1987,73
Burkina,PO,1988,77
Burkina,PO,1989,81
Burkina,PO,1990,71
Burkina,PO,1991,81
Burkina,PO,1992,70
Burkina,PO,1993,85
Burkina,PO,1994,87
Burkina,PO,1995,77
Burkina,PO,1996,85
Burkina,PO,1997,66
Burkina,PO,1998,77
Burkina,PO,1999,91
Burkina,PO,2000,75
Burkina,PO,2001,65
Burkina,PO,2002,65
Burkina,PO,2003,91
Burkina,PO,2004,85
Burkina,PO,2005,79
Burkina,PO,2006,73
Burkina,PO,2007,72
Burkina,PO,2008,71
Burkina,PO,2009,85
Burkina,PO,2010,72
Burkina,PO,2011,81
Burkina,PO,2012,80
Burkina,PO,2013,68
Burkina,PO,2014,85
Burkina,PO,2015,71
Burkina,PO,2016,83
Burkina,PO,2017,77
Burkina,PO,2018,77
Burkina,PO,2019,88
Burkina,PO,2020,90
Burkina,PO,2021,90
Burkina,PO,2022,13
