Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
GAOUA,Burkina,1983,59,85.8461538461538,-26.8461538461538,0,-26.8461538461538
GAOUA,Burkina,1984,81,85.8461538461538,-4.84615384615384,0,-4.84615384615384
GAOUA,Burkina,1985,92,85.8461538461538,6.15384615384616,6.15384615384616,0
GAOUA,Burkina,1986,88,85.8461538461538,2.15384615384616,2.15384615384616,0
GAOUA,Burkina,1987,81,85.8461538461538,-4.84615384615384,0,-4.84615384615384
GAOUA,Burkina,1988,76,85.8461538461538,-9.84615384615384,0,-9.84615384615384
GAOUA,Burkina,1989,89,85.8461538461538,3.15384615384616,3.15384615384616,0
GAOUA,Burkina,1990,80,85.8461538461538,-5.84615384615384,0,-5.84615384615384
GAOUA,Burkina,1991,90,85.8461538461538,4.15384615384616,4.15384615384616,0
GAOUA,Burkina,1992,77,85.8461538461538,-8.84615384615384,0,-8.84615384615384
GAOUA,Burkina,1993,97,85.8461538461538,11.1538461538462,11.1538461538462,0
GAOUA,Burkina,1994,94,85.8461538461538,8.15384615384616,8.15384615384616,0
GAOUA,Burkina,1995,89,85.8461538461538,3.15384615384616,3.15384615384616,0
GAOUA,Burkina,1996,84,85.8461538461538,-1.84615384615384,0,-1.84615384615384
GAOUA,Burkina,1997,88,85.8461538461538,2.15384615384616,2.15384615384616,0
GAOUA,Burkina,1998,82,85.8461538461538,-3.84615384615384,0,-3.84615384615384
GAOUA,Burkina,1999,105,85.8461538461538,19.1538461538462,19.1538461538462,0
GAOUA,Burkina,2000,97,85.8461538461538,11.1538461538462,11.1538461538462,0
GAOUA,Burkina,2001,78,85.8461538461538,-7.84615384615384,0,-7.84615384615384
GAOUA,Burkina,2002,68,85.8461538461538,-17.8461538461538,0,-17.8461538461538
GAOUA,Burkina,2003,94,85.8461538461538,8.15384615384616,8.15384615384616,0
GAOUA,Burkina,2004,89,85.8461538461538,3.15384615384616,3.15384615384616,0
GAOUA,Burkina,2005,73,85.8461538461538,-12.8461538461538,0,-12.8461538461538
GAOUA,Burkina,2006,85,85.8461538461538,-0.84615384615384,0,-0.84615384615384
GAOUA,Burkina,2007,83,85.8461538461538,-2.84615384615384,0,-2.84615384615384
GAOUA,Burkina,2008,79,85.8461538461538,-6.84615384615384,0,-6.84615384615384
GAOUA,Burkina,2009,93,85.8461538461538,7.15384615384616,7.15384615384616,0
GAOUA,Burkina,2010,82,85.8461538461538,-3.84615384615384,0,-3.84615384615384
GAOUA,Burkina,2011,85,85.8461538461538,-0.84615384615384,0,-0.84615384615384
GAOUA,Burkina,2012,94,85.8461538461538,8.15384615384616,8.15384615384616,0
GAOUA,Burkina,2013,75,85.8461538461538,-10.8461538461538,0,-10.8461538461538
GAOUA,Burkina,2014,82,85.8461538461538,-3.84615384615384,0,-3.84615384615384
GAOUA,Burkina,2015,82,85.8461538461538,-3.84615384615384,0,-3.84615384615384
GAOUA,Burkina,2016,94,85.8461538461538,8.15384615384616,8.15384615384616,0
GAOUA,Burkina,2017,76,85.8461538461538,-9.84615384615384,0,-9.84615384615384
GAOUA,Burkina,2018,88,85.8461538461538,2.15384615384616,2.15384615384616,0
GAOUA,Burkina,2019,97,85.8461538461538,11.1538461538462,11.1538461538462,0
GAOUA,Burkina,2020,93,85.8461538461538,7.15384615384616,7.15384615384616,0
GAOUA,Burkina,2021,109,85.8461538461538,23.1538461538462,23.1538461538462,0
