Station,Country,Lon,Lat,Date,Precipitation
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-01,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-02,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-03,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-04,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-05,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-06,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-07,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-08,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-09,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-10,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-11,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-12,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-13,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-14,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-15,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-16,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-17,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-18,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-19,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-20,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-21,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-22,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-23,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-24,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-25,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-26,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-27,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-28,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-29,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-30,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-01-31,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-01,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-02,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-03,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-04,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-05,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-06,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-07,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-08,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-09,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-10,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-11,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-12,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-13,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-14,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-15,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-16,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-17,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-18,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-19,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-20,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-21,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-22,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-23,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-24,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-25,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-26,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-27,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-02-28,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-01,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-02,2.17683
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-03,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-04,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-05,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-06,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-07,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-08,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-09,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-10,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-11,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-12,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-13,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-14,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-15,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-16,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-17,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-18,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-19,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-20,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-21,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-22,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-23,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-24,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-25,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-26,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-27,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-28,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-29,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-30,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-03-31,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-01,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-02,1.03022
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-03,12.05184
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-04,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-05,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-06,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-07,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-08,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-09,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-10,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-11,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-12,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-13,0.2796629
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-14,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-15,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-16,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-17,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-18,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-19,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-20,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-21,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-22,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-23,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-24,3.213491
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-25,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-26,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-27,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-28,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-29,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-04-30,
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-01,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-02,2.194573
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-03,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-04,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-05,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-06,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-07,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-08,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-09,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-10,0.7350967
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-11,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-12,1.765218
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-13,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-14,1.83768
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-15,0.7102216
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-16,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-17,1.7084
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-18,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-19,0.2414258
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-20,3.378116
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-21,11.12008
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-22,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-23,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-24,0.3364515
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-25,0
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-26,0.3606233
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-27,3.071575
OUAGADOUGOU,Burkina,-1.51666,12.35,1983-05-28,0
