Station,Country,Lon,Lat,Date,Precipitation
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-01,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-02,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-03,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-04,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-05,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-06,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-07,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-08,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-09,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-10,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-11,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-12,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-13,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-14,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-15,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-16,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-17,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-18,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-19,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-20,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-21,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-22,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-23,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-24,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-25,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-26,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-27,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-28,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-29,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-30,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-01-31,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-01,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-02,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-03,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-04,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-05,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-06,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-07,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-08,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-09,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-10,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-11,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-12,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-13,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-14,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-15,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-16,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-17,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-18,
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-19,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-20,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-21,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-22,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-23,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-24,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-25,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-26,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-27,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-02-28,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-03-01,0
OUAHIGOUYA,Burkina,-2.43333,13.58333,1983-03-02,5.498644
