Station,Country,Lon,Lat,Date,Precipitation
PO,Burkina,-1.15,11.16666,1983-01-01,0
PO,Burkina,-1.15,11.16666,1983-01-02,0
PO,Burkina,-1.15,11.16666,1983-01-03,0
PO,Burkina,-1.15,11.16666,1983-01-04,
PO,Burkina,-1.15,11.16666,1983-01-05,
PO,Burkina,-1.15,11.16666,1983-01-06,
PO,Burkina,-1.15,11.16666,1983-01-07,
PO,Burkina,-1.15,11.16666,1983-01-08,
PO,Burkina,-1.15,11.16666,1983-01-09,
PO,Burkina,-1.15,11.16666,1983-01-10,0
PO,Burkina,-1.15,11.16666,1983-01-11,0
PO,Burkina,-1.15,11.16666,1983-01-12,0
PO,Burkina,-1.15,11.16666,1983-01-13,0
PO,Burkina,-1.15,11.16666,1983-01-14,0
PO,Burkina,-1.15,11.16666,1983-01-15,0
PO,Burkina,-1.15,11.16666,1983-01-16,
PO,Burkina,-1.15,11.16666,1983-01-17,
PO,Burkina,-1.15,11.16666,1983-01-18,
PO,Burkina,-1.15,11.16666,1983-01-19,
PO,Burkina,-1.15,11.16666,1983-01-20,
PO,Burkina,-1.15,11.16666,1983-01-21,
PO,Burkina,-1.15,11.16666,1983-01-22,
PO,Burkina,-1.15,11.16666,1983-01-23,0
PO,Burkina,-1.15,11.16666,1983-01-24,
PO,Burkina,-1.15,11.16666,1983-01-25,
PO,Burkina,-1.15,11.16666,1983-01-26,
PO,Burkina,-1.15,11.16666,1983-01-27,
PO,Burkina,-1.15,11.16666,1983-01-28,
PO,Burkina,-1.15,11.16666,1983-01-29,0
PO,Burkina,-1.15,11.16666,1983-01-30,
PO,Burkina,-1.15,11.16666,1983-01-31,
PO,Burkina,-1.15,11.16666,1983-02-01,0
PO,Burkina,-1.15,11.16666,1983-02-02,0
PO,Burkina,-1.15,11.16666,1983-02-03,0
PO,Burkina,-1.15,11.16666,1983-02-04,0
PO,Burkina,-1.15,11.16666,1983-02-05,0
PO,Burkina,-1.15,11.16666,1983-02-06,0
PO,Burkina,-1.15,11.16666,1983-02-07,0
PO,Burkina,-1.15,11.16666,1983-02-08,0
PO,Burkina,-1.15,11.16666,1983-02-09,0
PO,Burkina,-1.15,11.16666,1983-02-10,0
PO,Burkina,-1.15,11.16666,1983-02-11,
PO,Burkina,-1.15,11.16666,1983-02-12,0.8174838
PO,Burkina,-1.15,11.16666,1983-02-13,0
PO,Burkina,-1.15,11.16666,1983-02-14,0
PO,Burkina,-1.15,11.16666,1983-02-15,
PO,Burkina,-1.15,11.16666,1983-02-16,0
PO,Burkina,-1.15,11.16666,1983-02-17,0
PO,Burkina,-1.15,11.16666,1983-02-18,
PO,Burkina,-1.15,11.16666,1983-02-19,0
PO,Burkina,-1.15,11.16666,1983-02-20,0
PO,Burkina,-1.15,11.16666,1983-02-21,0
PO,Burkina,-1.15,11.16666,1983-02-22,2.881228
PO,Burkina,-1.15,11.16666,1983-02-23,0
PO,Burkina,-1.15,11.16666,1983-02-24,0
PO,Burkina,-1.15,11.16666,1983-02-25,0
PO,Burkina,-1.15,11.16666,1983-02-26,0
PO,Burkina,-1.15,11.16666,1983-02-27,0
PO,Burkina,-1.15,11.16666,1983-02-28,0
