Station,Country,Year,Total_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
BOROMO,Burkina,1983,509.250787153,846.438210338308,-337.187423185308,0,-337.187423185308
BOROMO,Burkina,1984,622.132624213,846.438210338308,-224.305586125308,0,-224.305586125308
BOROMO,Burkina,1985,694.454317239,846.438210338308,-151.983893099308,0,-151.983893099308
BOROMO,Burkina,1986,676.833077356,846.438210338308,-169.605132982308,0,-169.605132982308
BOROMO,Burkina,1987,720.2212353673,846.438210338308,-126.216974971008,0,-126.216974971008
BOROMO,Burkina,1988,722.209987204,846.438210338308,-124.228223134308,0,-124.228223134308
BOROMO,Burkina,1989,641.323066208,846.438210338308,-205.115144130308,0,-205.115144130308
BOROMO,Burkina,1990,547.244705409,846.438210338308,-299.193504929308,0,-299.193504929308
BOROMO,Burkina,1991,837.084279084,846.438210338308,-9.35393125430778,0,-9.35393125430778
BOROMO,Burkina,1992,722.884216518,846.438210338308,-123.553993820308,0,-123.553993820308
BOROMO,Burkina,1993,853.352860369,846.438210338308,6.91465003069231,6.91465003069231,0
BOROMO,Burkina,1994,883.127702624,846.438210338308,36.6894922856923,36.6894922856923,0
BOROMO,Burkina,1995,589.621150531,846.438210338308,-256.817059807308,0,-256.817059807308
BOROMO,Burkina,1996,766.082981837,846.438210338308,-80.3552285013077,0,-80.3552285013077
BOROMO,Burkina,1997,766.801800961,846.438210338308,-79.6364093773077,0,-79.6364093773077
BOROMO,Burkina,1998,1019.561544436,846.438210338308,173.123334097692,173.123334097692,0
BOROMO,Burkina,1999,941.973527754,846.438210338308,95.5353174156923,95.5353174156923,0
BOROMO,Burkina,2000,784.9244573731,846.438210338308,-61.5137529652077,0,-61.5137529652077
BOROMO,Burkina,2001,815.843418273,846.438210338308,-30.5947920653077,0,-30.5947920653077
BOROMO,Burkina,2002,681.013353895,846.438210338308,-165.424856443308,0,-165.424856443308
BOROMO,Burkina,2003,1052.014330183,846.438210338308,205.576119844692,205.576119844692,0
BOROMO,Burkina,2004,881.2800842236,846.438210338308,34.8418738852922,34.8418738852922,0
BOROMO,Burkina,2005,750.9222711432,846.438210338308,-95.5159391951078,0,-95.5159391951078
BOROMO,Burkina,2006,843.0840816554,846.438210338308,-3.35412868290769,0,-3.35412868290769
BOROMO,Burkina,2007,848.48953637,846.438210338308,2.05132603169227,2.05132603169227,0
BOROMO,Burkina,2008,928.5179765817,846.438210338308,82.0797662433923,82.0797662433923,0
BOROMO,Burkina,2009,930.8990754866,846.438210338308,84.4608651482923,84.4608651482923,0
BOROMO,Burkina,2010,968.6999500378,846.438210338308,122.261739699492,122.261739699492,0
BOROMO,Burkina,2011,762.581764346,846.438210338308,-83.8564459923077,0,-83.8564459923077
BOROMO,Burkina,2012,912.250894524,846.438210338308,65.8126841856923,65.8126841856923,0
BOROMO,Burkina,2013,900.398889722,846.438210338308,53.9606793836923,53.9606793836923,0
BOROMO,Burkina,2014,1007.294623923,846.438210338308,160.856413584692,160.856413584692,0
BOROMO,Burkina,2015,955.414710355,846.438210338308,108.976500016692,108.976500016692,0
BOROMO,Burkina,2016,979.928871429,846.438210338308,133.490661090692,133.490661090692,0
BOROMO,Burkina,2017,843.428963645,846.438210338308,-3.00924669330777,0,-3.00924669330777
BOROMO,Burkina,2018,985.964544593,846.438210338308,139.526334254692,139.526334254692,0
BOROMO,Burkina,2019,1112.3577935713,846.438210338308,265.919583232992,265.919583232992,0
BOROMO,Burkina,2020,1300.3747354,846.438210338308,453.936525061692,453.936525061692,0
BOROMO,Burkina,2021,1251.2460122,846.438210338308,404.807801861692,404.807801861692,0
