Station,Country,Year,Total_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
DEDOUGOU,Burkina,1983,445.391007911,762.955281805718,-317.564273894718,0,-317.564273894718
DEDOUGOU,Burkina,1984,507.654347318,762.955281805718,-255.300934487718,0,-255.300934487718
DEDOUGOU,Burkina,1985,571.907528405,762.955281805718,-191.047753400718,0,-191.047753400718
DEDOUGOU,Burkina,1986,524.4609495,762.955281805718,-238.494332305718,0,-238.494332305718
DEDOUGOU,Burkina,1987,595.540069294,762.955281805718,-167.415212511718,0,-167.415212511718
DEDOUGOU,Burkina,1988,541.825969914,762.955281805718,-221.129311891718,0,-221.129311891718
DEDOUGOU,Burkina,1989,539.547626507,762.955281805718,-223.407655298718,0,-223.407655298718
DEDOUGOU,Burkina,1990,470.484517905,762.955281805718,-292.470763900718,0,-292.470763900718
DEDOUGOU,Burkina,1991,573.860691607,762.955281805718,-189.094590198718,0,-189.094590198718
DEDOUGOU,Burkina,1992,494.38517819,762.955281805718,-268.570103615718,0,-268.570103615718
DEDOUGOU,Burkina,1993,518.24295738,762.955281805718,-244.712324425718,0,-244.712324425718
DEDOUGOU,Burkina,1994,748.4362359,762.955281805718,-14.5190459057179,0,-14.5190459057179
DEDOUGOU,Burkina,1995,515.072649474,762.955281805718,-247.882632331718,0,-247.882632331718
DEDOUGOU,Burkina,1996,530.752230234,762.955281805718,-232.203051571718,0,-232.203051571718
DEDOUGOU,Burkina,1997,705.1367116,762.955281805718,-57.818570205718,0,-57.818570205718
DEDOUGOU,Burkina,1998,985.039232831,762.955281805718,222.083951025282,222.083951025282,0
DEDOUGOU,Burkina,1999,884.717092847,762.955281805718,121.761811041282,121.761811041282,0
DEDOUGOU,Burkina,2000,815.642636975,762.955281805718,52.687355169282,52.687355169282,0
DEDOUGOU,Burkina,2001,753.017032846,762.955281805718,-9.93824895971795,0,-9.93824895971795
DEDOUGOU,Burkina,2002,649.2558509,762.955281805718,-113.699430905718,0,-113.699430905718
DEDOUGOU,Burkina,2003,975.707768959,762.955281805718,212.752487153282,212.752487153282,0
DEDOUGOU,Burkina,2004,799.098970143,762.955281805718,36.143688337282,36.143688337282,0
DEDOUGOU,Burkina,2005,663.2467215,762.955281805718,-99.7085603057179,0,-99.7085603057179
DEDOUGOU,Burkina,2006,912.451785666,762.955281805718,149.496503860282,149.496503860282,0
DEDOUGOU,Burkina,2007,824.726479478,762.955281805718,61.771197672282,61.771197672282,0
DEDOUGOU,Burkina,2008,811.7395266,762.955281805718,48.784244794282,48.784244794282,0
DEDOUGOU,Burkina,2009,901.351957165,762.955281805718,138.396675359282,138.396675359282,0
DEDOUGOU,Burkina,2010,933.7243941,762.955281805718,170.769112294282,170.769112294282,0
DEDOUGOU,Burkina,2011,763.266992237,762.955281805718,0.311710431281995,0.311710431281995,0
DEDOUGOU,Burkina,2012,923.698962991,762.955281805718,160.743681185282,160.743681185282,0
DEDOUGOU,Burkina,2013,832.278361104,762.955281805718,69.3230792982821,69.3230792982821,0
DEDOUGOU,Burkina,2014,843.6892922,762.955281805718,80.734010394282,80.734010394282,0
DEDOUGOU,Burkina,2015,1018.8798639,762.955281805718,255.924582094282,255.924582094282,0
DEDOUGOU,Burkina,2016,1017.168544813,762.955281805718,254.213263007282,254.213263007282,0
DEDOUGOU,Burkina,2017,766.4979261,762.955281805718,3.54264429428201,3.54264429428201,0
DEDOUGOU,Burkina,2018,1027.314237288,762.955281805718,264.358955482282,264.358955482282,0
DEDOUGOU,Burkina,2019,1068.954966266,762.955281805718,305.999684460282,305.999684460282,0
DEDOUGOU,Burkina,2020,1214.067566075,762.955281805718,451.112284269282,451.112284269282,0
DEDOUGOU,Burkina,2021,1087.0211563,762.955281805718,324.065874494282,324.065874494282,0
