Country,Station,Year,Sum_Precipitation
Burkina,BOBO-DIOULASSO,1983,599.8723248817
Burkina,BOBO-DIOULASSO,1984,670.309156348
Burkina,BOBO-DIOULASSO,1985,980.902775582
Burkina,BOBO-DIOULASSO,1986,774.434077631
Burkina,BOBO-DIOULASSO,1987,815.0650796767
Burkina,BOBO-DIOULASSO,1988,856.4127833682
Burkina,BOBO-DIOULASSO,1989,658.2202195862
Burkina,BOBO-DIOULASSO,1990,693.9668770396
Burkina,BOBO-DIOULASSO,1991,910.673577216
Burkina,BOBO-DIOULASSO,1992,847.489955887
Burkina,BOBO-DIOULASSO,1993,735.036060095
Burkina,BOBO-DIOULASSO,1994,904.226450767
Burkina,BOBO-DIOULASSO,1995,890.0853710801
Burkina,BOBO-DIOULASSO,1996,906.95653867
Burkina,BOBO-DIOULASSO,1997,814.2823582031
Burkina,BOBO-DIOULASSO,1998,1048.7158228464
Burkina,BOBO-DIOULASSO,1999,976.16193583
Burkina,BOBO-DIOULASSO,2000,933.073243727
Burkina,BOBO-DIOULASSO,2001,864.3707059557
Burkina,BOBO-DIOULASSO,2002,755.911684602
Burkina,BOBO-DIOULASSO,2003,1103.0757292908
Burkina,BOBO-DIOULASSO,2004,847.2932946566
Burkina,BOBO-DIOULASSO,2005,868.3554073544
Burkina,BOBO-DIOULASSO,2006,1049.692480715
Burkina,BOBO-DIOULASSO,2007,861.3804192695
Burkina,BOBO-DIOULASSO,2008,1004.4831221305
Burkina,BOBO-DIOULASSO,2009,1005.713588045
Burkina,BOBO-DIOULASSO,2010,1145.0883774768
Burkina,BOBO-DIOULASSO,2011,786.20388898
Burkina,BOBO-DIOULASSO,2012,1076.1720977865
Burkina,BOBO-DIOULASSO,2013,928.0868560614
Burkina,BOBO-DIOULASSO,2014,1249.2565085527
Burkina,BOBO-DIOULASSO,2015,1202.2112736656
Burkina,BOBO-DIOULASSO,2016,1097.9766155157
Burkina,BOBO-DIOULASSO,2017,802.7840226517
Burkina,BOBO-DIOULASSO,2018,1138.1503788412
Burkina,BOBO-DIOULASSO,2019,1282.683716502
Burkina,BOBO-DIOULASSO,2020,1365.3208184
Burkina,BOBO-DIOULASSO,2021,1377.785734
Burkina,BOBO-DIOULASSO,2022,151.877442
