Country,Station,Year,Sum_Precipitation
Burkina,BOROMO,1983,509.250787153
Burkina,BOROMO,1984,622.132624213
Burkina,BOROMO,1985,694.454317239
Burkina,BOROMO,1986,676.833077356
Burkina,BOROMO,1987,720.2212353673
Burkina,BOROMO,1988,722.209987204
Burkina,BOROMO,1989,641.323066208
Burkina,BOROMO,1990,547.244705409
Burkina,BOROMO,1991,837.084279084
Burkina,BOROMO,1992,722.884216518
Burkina,BOROMO,1993,853.352860369
Burkina,BOROMO,1994,883.127702624
Burkina,BOROMO,1995,589.621150531
Burkina,BOROMO,1996,766.082981837
Burkina,BOROMO,1997,766.801800961
Burkina,BOROMO,1998,1019.561544436
Burkina,BOROMO,1999,941.973527754
Burkina,BOROMO,2000,784.9244573731
Burkina,BOROMO,2001,815.843418273
Burkina,BOROMO,2002,681.013353895
Burkina,BOROMO,2003,1052.014330183
Burkina,BOROMO,2004,881.2800842236
Burkina,BOROMO,2005,750.9222711432
Burkina,BOROMO,2006,843.0840816554
Burkina,BOROMO,2007,848.48953637
Burkina,BOROMO,2008,928.5179765817
Burkina,BOROMO,2009,930.8990754866
Burkina,BOROMO,2010,968.6999500378
Burkina,BOROMO,2011,762.581764346
Burkina,BOROMO,2012,912.250894524
Burkina,BOROMO,2013,900.398889722
Burkina,BOROMO,2014,1007.294623923
Burkina,BOROMO,2015,955.414710355
Burkina,BOROMO,2016,979.928871429
Burkina,BOROMO,2017,843.428963645
Burkina,BOROMO,2018,985.964544593
Burkina,BOROMO,2019,1112.3577935713
Burkina,BOROMO,2020,1300.3747354
Burkina,BOROMO,2021,1251.2460122
Burkina,BOROMO,2022,125.9604121
