Country,Station,Year,Sum_Precipitation
Burkina,DEDOUGOU,1983,445.391007911
Burkina,DEDOUGOU,1984,507.654347318
Burkina,DEDOUGOU,1985,571.907528405
Burkina,DEDOUGOU,1986,524.4609495
Burkina,DEDOUGOU,1987,595.540069294
Burkina,DEDOUGOU,1988,541.825969914
Burkina,DEDOUGOU,1989,539.547626507
Burkina,DEDOUGOU,1990,470.484517905
Burkina,DEDOUGOU,1991,573.860691607
Burkina,DEDOUGOU,1992,494.38517819
Burkina,DEDOUGOU,1993,518.24295738
Burkina,DEDOUGOU,1994,748.4362359
Burkina,DEDOUGOU,1995,515.072649474
Burkina,DEDOUGOU,1996,530.752230234
Burkina,DEDOUGOU,1997,705.1367116
Burkina,DEDOUGOU,1998,985.039232831
Burkina,DEDOUGOU,1999,884.717092847
Burkina,DEDOUGOU,2000,815.642636975
Burkina,DEDOUGOU,2001,753.017032846
Burkina,DEDOUGOU,2002,649.2558509
Burkina,DEDOUGOU,2003,975.707768959
Burkina,DEDOUGOU,2004,799.098970143
Burkina,DEDOUGOU,2005,663.2467215
Burkina,DEDOUGOU,2006,912.451785666
Burkina,DEDOUGOU,2007,824.726479478
Burkina,DEDOUGOU,2008,811.7395266
Burkina,DEDOUGOU,2009,901.351957165
Burkina,DEDOUGOU,2010,933.7243941
Burkina,DEDOUGOU,2011,763.266992237
Burkina,DEDOUGOU,2012,923.698962991
Burkina,DEDOUGOU,2013,832.278361104
Burkina,DEDOUGOU,2014,843.6892922
Burkina,DEDOUGOU,2015,1018.8798639
Burkina,DEDOUGOU,2016,1017.168544813
Burkina,DEDOUGOU,2017,766.4979261
Burkina,DEDOUGOU,2018,1027.314237288
Burkina,DEDOUGOU,2019,1068.954966266
Burkina,DEDOUGOU,2020,1214.067566075
Burkina,DEDOUGOU,2021,1087.0211563
Burkina,DEDOUGOU,2022,78.111115
