Country,Station,Year,Sum_Precipitation
Burkina,DORI,1983,282.545047294
Burkina,DORI,1984,464.626290187
Burkina,DORI,1985,370.296792184
Burkina,DORI,1986,474.095948704
Burkina,DORI,1987,487.969261043
Burkina,DORI,1988,418.966569751
Burkina,DORI,1989,409.834287443
Burkina,DORI,1990,368.559993139
Burkina,DORI,1991,458.330668552
Burkina,DORI,1992,492.180506284
Burkina,DORI,1993,332.600946475
Burkina,DORI,1994,522.931047838
Burkina,DORI,1995,298.0788692
Burkina,DORI,1996,349.642842153
Burkina,DORI,1997,559.309592461
Burkina,DORI,1998,640.491078172
Burkina,DORI,1999,617.374786413
Burkina,DORI,2000,536.279156047
Burkina,DORI,2001,634.7395853
Burkina,DORI,2002,484.583180458
Burkina,DORI,2003,765.351110828
Burkina,DORI,2004,583.616831024
Burkina,DORI,2005,502.4690247
Burkina,DORI,2006,609.3508586838
Burkina,DORI,2007,659.951181152
Burkina,DORI,2008,621.371114694
Burkina,DORI,2009,686.825768761
Burkina,DORI,2010,683.625485027
Burkina,DORI,2011,641.441562326
Burkina,DORI,2012,739.069863114
Burkina,DORI,2013,678.6000254
Burkina,DORI,2014,643.5522725
Burkina,DORI,2015,807.3239161
Burkina,DORI,2016,785.4402069
Burkina,DORI,2017,721.354905238
Burkina,DORI,2018,826.578809981
Burkina,DORI,2019,712.065585075
Burkina,DORI,2020,885.9458997
Burkina,DORI,2021,862.1745889
Burkina,DORI,2022,41.055555
