Country,Station,Year,Sum_Precipitation
Burkina,MANGODARA,1983,484.852585809
Burkina,MANGODARA,1984,850.477523217
Burkina,MANGODARA,1985,833.5675663
Burkina,MANGODARA,1986,731.2759386
Burkina,MANGODARA,1987,954.3675785
Burkina,MANGODARA,1988,794.618967352
Burkina,MANGODARA,1989,855.471212481
Burkina,MANGODARA,1990,765.499042679
Burkina,MANGODARA,1991,749.579610051
Burkina,MANGODARA,1992,610.376512134
Burkina,MANGODARA,1993,829.957552983
Burkina,MANGODARA,1994,919.8206951
Burkina,MANGODARA,1995,832.360243707
Burkina,MANGODARA,1996,754.61221284
Burkina,MANGODARA,1997,924.674164259
Burkina,MANGODARA,1998,924.585470407
Burkina,MANGODARA,1999,1001.800690219
Burkina,MANGODARA,2000,939.1677925
Burkina,MANGODARA,2001,907.568479024
Burkina,MANGODARA,2002,768.492817
Burkina,MANGODARA,2003,904.601232341
Burkina,MANGODARA,2004,876.1125984
Burkina,MANGODARA,2005,766.623296079
Burkina,MANGODARA,2006,905.982958713
Burkina,MANGODARA,2007,776.792187212
Burkina,MANGODARA,2008,967.259545878
Burkina,MANGODARA,2009,921.375783536
Burkina,MANGODARA,2010,1062.013036022
Burkina,MANGODARA,2011,960.1050038
Burkina,MANGODARA,2012,1003.446280079
Burkina,MANGODARA,2013,1005.6311322
Burkina,MANGODARA,2014,1189.597855862
Burkina,MANGODARA,2015,1146.294884395
Burkina,MANGODARA,2016,1131.726098161
Burkina,MANGODARA,2017,797.399701179
Burkina,MANGODARA,2018,1198.707689791
Burkina,MANGODARA,2019,1187.0235954
Burkina,MANGODARA,2020,1172.6642536
Burkina,MANGODARA,2021,1621.130936
Burkina,MANGODARA,2022,204.290201
