Country,Station,Year,Sum_Precipitation
Burkina,MARKOYE,1983,241.1921067
Burkina,MARKOYE,1984,257.046576364
Burkina,MARKOYE,1985,350.4861738
Burkina,MARKOYE,1986,432.830386774
Burkina,MARKOYE,1987,495.048461403
Burkina,MARKOYE,1988,502.936595081
Burkina,MARKOYE,1989,368.3051202
Burkina,MARKOYE,1990,346.503248053
Burkina,MARKOYE,1991,256.557514394
Burkina,MARKOYE,1992,339.594290864
Burkina,MARKOYE,1993,302.759817621
Burkina,MARKOYE,1994,728.161932981
Burkina,MARKOYE,1995,256.920531958
Burkina,MARKOYE,1996,261.846197533
Burkina,MARKOYE,1997,420.067905917
Burkina,MARKOYE,1998,555.414304742
Burkina,MARKOYE,1999,625.8726298
Burkina,MARKOYE,2000,454.736867926
Burkina,MARKOYE,2001,545.330197551
Burkina,MARKOYE,2002,450.106190878
Burkina,MARKOYE,2003,601.237705986
Burkina,MARKOYE,2004,480.9296614
Burkina,MARKOYE,2005,461.738908056
Burkina,MARKOYE,2006,412.902845863
Burkina,MARKOYE,2007,415.670731032
Burkina,MARKOYE,2008,564.125349376
Burkina,MARKOYE,2009,658.785912703
Burkina,MARKOYE,2010,721.603183761
Burkina,MARKOYE,2011,469.068384052
Burkina,MARKOYE,2012,725.231097732
Burkina,MARKOYE,2013,505.553839532
Burkina,MARKOYE,2014,580.597277275
Burkina,MARKOYE,2015,569.8757609
Burkina,MARKOYE,2016,573.478633244
Burkina,MARKOYE,2017,519.536896204
Burkina,MARKOYE,2018,717.446785061
Burkina,MARKOYE,2019,676.561106435
Burkina,MARKOYE,2020,898.29841736
Burkina,MARKOYE,2021,818.2971754
Burkina,MARKOYE,2022,6.8888889
