Country,Station,Year,Sum_Precipitation
Burkina,OUAGADOUGOU,1983,463.54494077
Burkina,OUAGADOUGOU,1984,572.014003309
Burkina,OUAGADOUGOU,1985,509.6691139799
Burkina,OUAGADOUGOU,1986,614.8156129565
Burkina,OUAGADOUGOU,1987,672.3094453015
Burkina,OUAGADOUGOU,1988,653.724466658
Burkina,OUAGADOUGOU,1989,663.2980447306
Burkina,OUAGADOUGOU,1990,504.1371140431
Burkina,OUAGADOUGOU,1991,783.1355071888
Burkina,OUAGADOUGOU,1992,641.9881271497
Burkina,OUAGADOUGOU,1993,616.8482292345
Burkina,OUAGADOUGOU,1994,664.7885600567
Burkina,OUAGADOUGOU,1995,695.1591754478
Burkina,OUAGADOUGOU,1996,601.939720061
Burkina,OUAGADOUGOU,1997,596.537282184
Burkina,OUAGADOUGOU,1998,813.6036946509
Burkina,OUAGADOUGOU,1999,771.5386925045
Burkina,OUAGADOUGOU,2000,701.3876569461
Burkina,OUAGADOUGOU,2001,704.1046680225
Burkina,OUAGADOUGOU,2002,657.7053787409
Burkina,OUAGADOUGOU,2003,997.459200203
Burkina,OUAGADOUGOU,2004,777.136607906
Burkina,OUAGADOUGOU,2005,822.832440231
Burkina,OUAGADOUGOU,2006,719.3005608851
Burkina,OUAGADOUGOU,2007,751.010697576
Burkina,OUAGADOUGOU,2008,778.6258237111
Burkina,OUAGADOUGOU,2009,883.7490332203
Burkina,OUAGADOUGOU,2010,916.569055671
Burkina,OUAGADOUGOU,2011,709.17992314
Burkina,OUAGADOUGOU,2012,879.0537257339
Burkina,OUAGADOUGOU,2013,755.9133684094
Burkina,OUAGADOUGOU,2014,792.7808872374
Burkina,OUAGADOUGOU,2015,916.3246201095
Burkina,OUAGADOUGOU,2016,920.531128356
Burkina,OUAGADOUGOU,2017,875.227423873
Burkina,OUAGADOUGOU,2018,930.054384001
Burkina,OUAGADOUGOU,2019,924.7493084783
Burkina,OUAGADOUGOU,2020,1143.1106205
Burkina,OUAGADOUGOU,2021,1248.0039845
Burkina,OUAGADOUGOU,2022,83.138884
