Country,Station,Year,Sum_Precipitation
Burkina,PO,1983,479.040519652
Burkina,PO,1984,586.7788532855
Burkina,PO,1985,656.842175322
Burkina,PO,1986,767.9077372
Burkina,PO,1987,708.249351223
Burkina,PO,1988,731.362664062
Burkina,PO,1989,859.2309713499
Burkina,PO,1990,618.7999273362
Burkina,PO,1991,937.324823787
Burkina,PO,1992,719.930830399
Burkina,PO,1993,812.6213883858
Burkina,PO,1994,972.605303005
Burkina,PO,1995,675.2017033939
Burkina,PO,1996,814.4232801308
Burkina,PO,1997,535.2882262959
Burkina,PO,1998,887.0668524983
Burkina,PO,1999,961.435059063
Burkina,PO,2000,674.7503143
Burkina,PO,2001,675.012079587
Burkina,PO,2002,675.250145176
Burkina,PO,2003,1049.9787218027
Burkina,PO,2004,851.756426205
Burkina,PO,2005,826.923137518
Burkina,PO,2006,834.944202927
Burkina,PO,2007,998.997949712
Burkina,PO,2008,917.233398916
Burkina,PO,2009,984.8850210645
Burkina,PO,2010,1055.196024363
Burkina,PO,2011,900.135655029
Burkina,PO,2012,1032.592162573
Burkina,PO,2013,812.0622563834
Burkina,PO,2014,778.2941014
Burkina,PO,2015,918.645450084
Burkina,PO,2016,989.115586985
Burkina,PO,2017,930.8281323
Burkina,PO,2018,1026.0674768873
Burkina,PO,2019,1109.027218625
Burkina,PO,2020,1308.6307871
Burkina,PO,2021,1348.1825324
Burkina,PO,2022,202.027769
