Station,Country,Lon,Lat,Date,Precipitation
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-01,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-02,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-03,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-04,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-05,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-06,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-07,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-08,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-09,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-10,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-11,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-12,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-13,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-14,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-15,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-16,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-17,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-18,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-19,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-20,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-21,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-22,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-23,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-24,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-25,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-26,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-27,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-28,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-29,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-30,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-01-31,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-01,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-02,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-03,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-04,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-05,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-06,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-07,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-08,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-09,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-10,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-11,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-12,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-13,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-14,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-15,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-16,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-17,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-18,
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-19,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-20,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-21,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-22,0.6848001
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-23,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-24,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-25,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-26,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-27,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-02-28,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-03-01,0
BIRNI-N_KONNI,Niger,5.25,13.8,1983-03-02,1.455794
BIRNI-N_KONNI,Niger,5.25,13.8,1983-03-03,0
