Station,Country,Year,Extreme_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
MAINE-SOROA,Niger,1983,23.96184,37.4187723076923,-13.4569323076923,0,-13.4569323076923
MAINE-SOROA,Niger,1984,43.54301,37.4187723076923,6.1242376923077,6.1242376923077,0
MAINE-SOROA,Niger,1985,26.5413,37.4187723076923,-10.8774723076923,0,-10.8774723076923
MAINE-SOROA,Niger,1986,15.56291,37.4187723076923,-21.8558623076923,0,-21.8558623076923
MAINE-SOROA,Niger,1987,25.73664,37.4187723076923,-11.6821323076923,0,-11.6821323076923
MAINE-SOROA,Niger,1988,28.08059,37.4187723076923,-9.33818230769231,0,-9.33818230769231
MAINE-SOROA,Niger,1989,54.36855,37.4187723076923,16.9497776923077,16.9497776923077,0
MAINE-SOROA,Niger,1990,45.48482,37.4187723076923,8.06604769230769,8.06604769230769,0
MAINE-SOROA,Niger,1991,22.92162,37.4187723076923,-14.4971523076923,0,-14.4971523076923
MAINE-SOROA,Niger,1992,32.19545,37.4187723076923,-5.22332230769231,0,-5.22332230769231
MAINE-SOROA,Niger,1993,24.27812,37.4187723076923,-13.1406523076923,0,-13.1406523076923
MAINE-SOROA,Niger,1994,37.07545,37.4187723076923,-0.343322307692311,0,-0.343322307692311
MAINE-SOROA,Niger,1995,32.20837,37.4187723076923,-5.21040230769231,0,-5.21040230769231
MAINE-SOROA,Niger,1996,30.43203,37.4187723076923,-6.98674230769231,0,-6.98674230769231
MAINE-SOROA,Niger,1997,48.88238,37.4187723076923,11.4636076923077,11.4636076923077,0
MAINE-SOROA,Niger,1998,42.5401,37.4187723076923,5.1213276923077,5.1213276923077,0
MAINE-SOROA,Niger,1999,41.32586,37.4187723076923,3.90708769230769,3.90708769230769,0
MAINE-SOROA,Niger,2000,33.88581,37.4187723076923,-3.53296230769231,0,-3.53296230769231
MAINE-SOROA,Niger,2001,28.94514,37.4187723076923,-8.47363230769231,0,-8.47363230769231
MAINE-SOROA,Niger,2002,47.41005,37.4187723076923,9.99127769230769,9.99127769230769,0
MAINE-SOROA,Niger,2003,53.69942,37.4187723076923,16.2806476923077,16.2806476923077,0
MAINE-SOROA,Niger,2004,31.72825,37.4187723076923,-5.69052230769231,0,-5.69052230769231
MAINE-SOROA,Niger,2005,50.99109,37.4187723076923,13.5723176923077,13.5723176923077,0
MAINE-SOROA,Niger,2006,57.3307,37.4187723076923,19.9119276923077,19.9119276923077,0
MAINE-SOROA,Niger,2007,46.0886,37.4187723076923,8.66982769230769,8.66982769230769,0
MAINE-SOROA,Niger,2008,28.41787,37.4187723076923,-9.00090230769231,0,-9.00090230769231
MAINE-SOROA,Niger,2009,34.31629,37.4187723076923,-3.10248230769231,0,-3.10248230769231
MAINE-SOROA,Niger,2010,41.68063,37.4187723076923,4.26185769230769,4.26185769230769,0
MAINE-SOROA,Niger,2011,35.59864,37.4187723076923,-1.8201323076923,0,-1.8201323076923
MAINE-SOROA,Niger,2012,61.63783,37.4187723076923,24.2190576923077,24.2190576923077,0
MAINE-SOROA,Niger,2013,34.54803,37.4187723076923,-2.87074230769231,0,-2.87074230769231
MAINE-SOROA,Niger,2014,44.16738,37.4187723076923,6.74860769230769,6.74860769230769,0
MAINE-SOROA,Niger,2015,33.89909,37.4187723076923,-3.51968230769231,0,-3.51968230769231
MAINE-SOROA,Niger,2016,39.94585,37.4187723076923,2.52707769230769,2.52707769230769,0
MAINE-SOROA,Niger,2017,31.78683,37.4187723076923,-5.63194230769231,0,-5.63194230769231
MAINE-SOROA,Niger,2018,34.90848,37.4187723076923,-2.51029230769231,0,-2.51029230769231
MAINE-SOROA,Niger,2019,40.32515,37.4187723076923,2.90637769230769,2.90637769230769,0
MAINE-SOROA,Niger,2020,32.82639,37.4187723076923,-4.5923823076923,0,-4.5923823076923
MAINE-SOROA,Niger,2021,40.05556,37.4187723076923,2.63678769230769,2.63678769230769,0
