Country,Station,Year,Extreme_Precipitation
Niger,MARADI,1983,19.51834
Niger,MARADI,1984,23.88854
Niger,MARADI,1985,32.99736
Niger,MARADI,1986,49.10438
Niger,MARADI,1987,27.42542
Niger,MARADI,1988,30.14603
Niger,MARADI,1989,43.96387
Niger,MARADI,1990,32.21729
Niger,MARADI,1991,21.19784
Niger,MARADI,1992,28.12902
Niger,MARADI,1993,24.98343
Niger,MARADI,1994,38.83497
Niger,MARADI,1995,29.94767
Niger,MARADI,1996,24.9882
Niger,MARADI,1997,20.58127
Niger,MARADI,1998,48.41535
Niger,MARADI,1999,23.00965
Niger,MARADI,2000,52.83122
Niger,MARADI,2001,38.28318
Niger,MARADI,2002,27.87977
Niger,MARADI,2003,61.89573
Niger,MARADI,2004,33.79047
Niger,MARADI,2005,55.96613
Niger,MARADI,2006,30.48118
Niger,MARADI,2007,38.10714
Niger,MARADI,2008,44.92683
Niger,MARADI,2009,30.11595
Niger,MARADI,2010,29.13625
Niger,MARADI,2011,28.61179
Niger,MARADI,2012,31.46085
Niger,MARADI,2013,45.81555
Niger,MARADI,2014,38.02275
Niger,MARADI,2015,38.90681
Niger,MARADI,2016,47.85137
Niger,MARADI,2017,76.29217
Niger,MARADI,2018,51.61512
Niger,MARADI,2019,44.26288
Niger,MARADI,2020,39.77778
Niger,MARADI,2021,42.61111
Niger,MARADI,2022,27
