Country,Station,Year,Extreme_Precipitation
Niger,TILLABERY,1983,25.33921
Niger,TILLABERY,1984,133.2467
Niger,TILLABERY,1985,36.03521
Niger,TILLABERY,1986,20.71179
Niger,TILLABERY,1987,21.37082
Niger,TILLABERY,1988,31.77031
Niger,TILLABERY,1989,32.82831
Niger,TILLABERY,1990,39.84089
Niger,TILLABERY,1991,32.85951
Niger,TILLABERY,1992,33.03624
Niger,TILLABERY,1993,33.73945
Niger,TILLABERY,1994,34.33107
Niger,TILLABERY,1995,28.97342
Niger,TILLABERY,1996,59.77208
Niger,TILLABERY,1997,24.65233
Niger,TILLABERY,1998,51.11742
Niger,TILLABERY,1999,31.23754
Niger,TILLABERY,2000,32.50782
Niger,TILLABERY,2001,32.9021
Niger,TILLABERY,2002,73.54739
Niger,TILLABERY,2003,58.62051
Niger,TILLABERY,2004,19.60029
Niger,TILLABERY,2005,56.8611
Niger,TILLABERY,2006,27.99064
Niger,TILLABERY,2007,46.26878
Niger,TILLABERY,2008,36.79301
Niger,TILLABERY,2009,34.69609
Niger,TILLABERY,2010,39.98096
Niger,TILLABERY,2011,32.8959
Niger,TILLABERY,2012,43.83167
Niger,TILLABERY,2013,53.70766
Niger,TILLABERY,2014,47.53874
Niger,TILLABERY,2015,34.22344
Niger,TILLABERY,2016,58.90771
Niger,TILLABERY,2017,58.59344
Niger,TILLABERY,2018,38.87683
Niger,TILLABERY,2019,34.15737
Niger,TILLABERY,2020,31.43333
Niger,TILLABERY,2021,38.83333
Niger,TILLABERY,2022,20
