Country,Station,Year,Extreme_Precipitation
Niger,BILMA,1983,2.231318
Niger,BILMA,1984,23.8985
Niger,BILMA,1985,3.210095
Niger,BILMA,1986,60.87378
Niger,BILMA,1987,3.078556
Niger,BILMA,1988,3.628654
Niger,BILMA,1989,18.33041
Niger,BILMA,1990,20.80685
Niger,BILMA,1991,3.231814
Niger,BILMA,1992,9.545289
Niger,BILMA,1993,8.76755
Niger,BILMA,1994,11.58622
Niger,BILMA,1995,5.315999
Niger,BILMA,1996,7.236665
Niger,BILMA,1997,4.582773
Niger,BILMA,1998,31.46448
Niger,BILMA,1999,4.049933
Niger,BILMA,2000,2.966741
Niger,BILMA,2001,3.654923
Niger,BILMA,2002,1.530792
Niger,BILMA,2003,9.062963
Niger,BILMA,2004,15.63638
Niger,BILMA,2005,5.075303
Niger,BILMA,2006,4.506539
Niger,BILMA,2007,5.059903
Niger,BILMA,2008,4.050486
Niger,BILMA,2009,5.226968
Niger,BILMA,2010,6.220597
Niger,BILMA,2011,5.370512
Niger,BILMA,2012,3.290749
Niger,BILMA,2013,10.21809
Niger,BILMA,2014,3.498204
Niger,BILMA,2015,9.423916
Niger,BILMA,2016,6.401719
Niger,BILMA,2017,5.442063
Niger,BILMA,2018,5.060844
Niger,BILMA,2019,29.27022
Niger,BILMA,2020,6.944444
Niger,BILMA,2021,1
Niger,BILMA,2022,12.44444
