Country,Station,Year,Extreme_Precipitation
Niger,DOSSO,1983,94.76923
Niger,DOSSO,1984,21.88044
Niger,DOSSO,1985,44.05291
Niger,DOSSO,1986,29.6667
Niger,DOSSO,1987,29.94022
Niger,DOSSO,1988,46.77457
Niger,DOSSO,1989,50.90795
Niger,DOSSO,1990,57.75181
Niger,DOSSO,1991,41.87405
Niger,DOSSO,1992,25.99631
Niger,DOSSO,1993,28.54
Niger,DOSSO,1994,52.10089
Niger,DOSSO,1995,24.53626
Niger,DOSSO,1996,42.35553
Niger,DOSSO,1997,27.31151
Niger,DOSSO,1998,42.13474
Niger,DOSSO,1999,21.82512
Niger,DOSSO,2000,26.21865
Niger,DOSSO,2001,23.1065
Niger,DOSSO,2002,31.054
Niger,DOSSO,2003,88.52313
Niger,DOSSO,2004,15.68095
Niger,DOSSO,2005,39.10025
Niger,DOSSO,2006,27.28934
Niger,DOSSO,2007,36.68389
Niger,DOSSO,2008,36.61856
Niger,DOSSO,2009,32.25847
Niger,DOSSO,2010,25.80467
Niger,DOSSO,2011,41.54902
Niger,DOSSO,2012,40.1007
Niger,DOSSO,2013,27.91381
Niger,DOSSO,2014,31.04422
Niger,DOSSO,2015,44.11229
Niger,DOSSO,2016,30.12072
Niger,DOSSO,2017,39.4439
Niger,DOSSO,2018,43.90203
Niger,DOSSO,2019,27.53622
Niger,DOSSO,2020,36
Niger,DOSSO,2021,52.91666
Niger,DOSSO,2022,22.91667
