Country,Station,Year,Extreme_Precipitation
Niger,MAINE-SOROA,1983,23.96184
Niger,MAINE-SOROA,1984,43.54301
Niger,MAINE-SOROA,1985,26.5413
Niger,MAINE-SOROA,1986,15.56291
Niger,MAINE-SOROA,1987,25.73664
Niger,MAINE-SOROA,1988,28.08059
Niger,MAINE-SOROA,1989,54.36855
Niger,MAINE-SOROA,1990,45.48482
Niger,MAINE-SOROA,1991,22.92162
Niger,MAINE-SOROA,1992,32.19545
Niger,MAINE-SOROA,1993,24.27812
Niger,MAINE-SOROA,1994,37.07545
Niger,MAINE-SOROA,1995,32.20837
Niger,MAINE-SOROA,1996,30.43203
Niger,MAINE-SOROA,1997,48.88238
Niger,MAINE-SOROA,1998,42.5401
Niger,MAINE-SOROA,1999,41.32586
Niger,MAINE-SOROA,2000,33.88581
Niger,MAINE-SOROA,2001,28.94514
Niger,MAINE-SOROA,2002,47.41005
Niger,MAINE-SOROA,2003,53.69942
Niger,MAINE-SOROA,2004,31.72825
Niger,MAINE-SOROA,2005,50.99109
Niger,MAINE-SOROA,2006,57.3307
Niger,MAINE-SOROA,2007,46.0886
Niger,MAINE-SOROA,2008,28.41787
Niger,MAINE-SOROA,2009,34.31629
Niger,MAINE-SOROA,2010,41.68063
Niger,MAINE-SOROA,2011,35.59864
Niger,MAINE-SOROA,2012,61.63783
Niger,MAINE-SOROA,2013,34.54803
Niger,MAINE-SOROA,2014,44.16738
Niger,MAINE-SOROA,2015,33.89909
Niger,MAINE-SOROA,2016,39.94585
Niger,MAINE-SOROA,2017,31.78683
Niger,MAINE-SOROA,2018,34.90848
Niger,MAINE-SOROA,2019,40.32515
Niger,MAINE-SOROA,2020,32.82639
Niger,MAINE-SOROA,2021,40.05556
Niger,MAINE-SOROA,2022,9.805555
