Country,Station,Year,Extreme_Precipitation
Niger,NIAMEY-AERO,1983,27.74414
Niger,NIAMEY-AERO,1984,20.85198
Niger,NIAMEY-AERO,1985,16.62009
Niger,NIAMEY-AERO,1986,59.37418
Niger,NIAMEY-AERO,1987,24.45053
Niger,NIAMEY-AERO,1988,40.28647
Niger,NIAMEY-AERO,1989,28.21127
Niger,NIAMEY-AERO,1990,32.65056
Niger,NIAMEY-AERO,1991,45.80462
Niger,NIAMEY-AERO,1992,41.3882
Niger,NIAMEY-AERO,1993,28.44823
Niger,NIAMEY-AERO,1994,75.36129
Niger,NIAMEY-AERO,1995,27.77252
Niger,NIAMEY-AERO,1996,40.69061
Niger,NIAMEY-AERO,1997,30.45367
Niger,NIAMEY-AERO,1998,65.65605
Niger,NIAMEY-AERO,1999,42.12032
Niger,NIAMEY-AERO,2000,37.51588
Niger,NIAMEY-AERO,2001,40.80943
Niger,NIAMEY-AERO,2002,37.57215
Niger,NIAMEY-AERO,2003,67.09908
Niger,NIAMEY-AERO,2004,32.50893
Niger,NIAMEY-AERO,2005,45.03418
Niger,NIAMEY-AERO,2006,28.90811
Niger,NIAMEY-AERO,2007,34.52915
Niger,NIAMEY-AERO,2008,55.17785
Niger,NIAMEY-AERO,2009,43.88604
Niger,NIAMEY-AERO,2010,48.93703
Niger,NIAMEY-AERO,2011,34.43024
Niger,NIAMEY-AERO,2012,38.39685
Niger,NIAMEY-AERO,2013,44.56633
Niger,NIAMEY-AERO,2014,54.55482
Niger,NIAMEY-AERO,2015,46.01928
Niger,NIAMEY-AERO,2016,27.00899
Niger,NIAMEY-AERO,2017,94.81277
Niger,NIAMEY-AERO,2018,42.32225
Niger,NIAMEY-AERO,2019,33.41656
Niger,NIAMEY-AERO,2020,34.08333
Niger,NIAMEY-AERO,2021,48.88889
Niger,NIAMEY-AERO,2022,19.55556
