Country,Station,Year,Extreme_Precipitation
Niger,N_GUIGMI,1983,15.00984
Niger,N_GUIGMI,1984,21.45947
Niger,N_GUIGMI,1985,16.17361
Niger,N_GUIGMI,1986,17.98853
Niger,N_GUIGMI,1987,8.034421
Niger,N_GUIGMI,1988,24.4652
Niger,N_GUIGMI,1989,10.71637
Niger,N_GUIGMI,1990,13.23615
Niger,N_GUIGMI,1991,12.57753
Niger,N_GUIGMI,1992,28.35728
Niger,N_GUIGMI,1993,12.57076
Niger,N_GUIGMI,1994,23.04424
Niger,N_GUIGMI,1995,37.10652
Niger,N_GUIGMI,1996,23.6819
Niger,N_GUIGMI,1997,15.46566
Niger,N_GUIGMI,1998,49.00712
Niger,N_GUIGMI,1999,31.18241
Niger,N_GUIGMI,2000,25.17777
Niger,N_GUIGMI,2001,25.61001
Niger,N_GUIGMI,2002,19.55904
Niger,N_GUIGMI,2003,36.61734
Niger,N_GUIGMI,2004,22.66914
Niger,N_GUIGMI,2005,40.34045
Niger,N_GUIGMI,2006,17.6541
Niger,N_GUIGMI,2007,30.88484
Niger,N_GUIGMI,2008,29.33653
Niger,N_GUIGMI,2009,24.74963
Niger,N_GUIGMI,2010,26.71933
Niger,N_GUIGMI,2011,46.48259
Niger,N_GUIGMI,2012,42.25752
Niger,N_GUIGMI,2013,27.28218
Niger,N_GUIGMI,2014,32.32433
Niger,N_GUIGMI,2015,39.24066
Niger,N_GUIGMI,2016,33.5829
Niger,N_GUIGMI,2017,25.85725
Niger,N_GUIGMI,2018,32.53077
Niger,N_GUIGMI,2019,41.88849
Niger,N_GUIGMI,2020,27
Niger,N_GUIGMI,2021,31.66667
Niger,N_GUIGMI,2022,0
