Station,Country,Lon,Lat,Date,Precipitation
GAYA,Niger,3.45,11.88333,1983-01-01,0
GAYA,Niger,3.45,11.88333,1983-01-02,0
GAYA,Niger,3.45,11.88333,1983-01-03,0
GAYA,Niger,3.45,11.88333,1983-01-04,
GAYA,Niger,3.45,11.88333,1983-01-05,
GAYA,Niger,3.45,11.88333,1983-01-06,
GAYA,Niger,3.45,11.88333,1983-01-07,
GAYA,Niger,3.45,11.88333,1983-01-08,
GAYA,Niger,3.45,11.88333,1983-01-09,
GAYA,Niger,3.45,11.88333,1983-01-10,0
GAYA,Niger,3.45,11.88333,1983-01-11,0
GAYA,Niger,3.45,11.88333,1983-01-12,0
GAYA,Niger,3.45,11.88333,1983-01-13,0
GAYA,Niger,3.45,11.88333,1983-01-14,0
GAYA,Niger,3.45,11.88333,1983-01-15,0
GAYA,Niger,3.45,11.88333,1983-01-16,
GAYA,Niger,3.45,11.88333,1983-01-17,
GAYA,Niger,3.45,11.88333,1983-01-18,
GAYA,Niger,3.45,11.88333,1983-01-19,
GAYA,Niger,3.45,11.88333,1983-01-20,
GAYA,Niger,3.45,11.88333,1983-01-21,
GAYA,Niger,3.45,11.88333,1983-01-22,
GAYA,Niger,3.45,11.88333,1983-01-23,0
GAYA,Niger,3.45,11.88333,1983-01-24,
GAYA,Niger,3.45,11.88333,1983-01-25,
GAYA,Niger,3.45,11.88333,1983-01-26,
GAYA,Niger,3.45,11.88333,1983-01-27,
GAYA,Niger,3.45,11.88333,1983-01-28,
GAYA,Niger,3.45,11.88333,1983-01-29,0
GAYA,Niger,3.45,11.88333,1983-01-30,
GAYA,Niger,3.45,11.88333,1983-01-31,
GAYA,Niger,3.45,11.88333,1983-02-01,0
GAYA,Niger,3.45,11.88333,1983-02-02,0
GAYA,Niger,3.45,11.88333,1983-02-03,0
GAYA,Niger,3.45,11.88333,1983-02-04,0
GAYA,Niger,3.45,11.88333,1983-02-05,0
GAYA,Niger,3.45,11.88333,1983-02-06,0
GAYA,Niger,3.45,11.88333,1983-02-07,0
GAYA,Niger,3.45,11.88333,1983-02-08,0
GAYA,Niger,3.45,11.88333,1983-02-09,0
GAYA,Niger,3.45,11.88333,1983-02-10,0
GAYA,Niger,3.45,11.88333,1983-02-11,
GAYA,Niger,3.45,11.88333,1983-02-12,0
GAYA,Niger,3.45,11.88333,1983-02-13,0
GAYA,Niger,3.45,11.88333,1983-02-14,0
GAYA,Niger,3.45,11.88333,1983-02-15,
GAYA,Niger,3.45,11.88333,1983-02-16,0
GAYA,Niger,3.45,11.88333,1983-02-17,0
GAYA,Niger,3.45,11.88333,1983-02-18,
GAYA,Niger,3.45,11.88333,1983-02-19,0
GAYA,Niger,3.45,11.88333,1983-02-20,0
GAYA,Niger,3.45,11.88333,1983-02-21,0
GAYA,Niger,3.45,11.88333,1983-02-22,0.9537994
GAYA,Niger,3.45,11.88333,1983-02-23,0
GAYA,Niger,3.45,11.88333,1983-02-24,0
GAYA,Niger,3.45,11.88333,1983-02-25,0
GAYA,Niger,3.45,11.88333,1983-02-26,0
GAYA,Niger,3.45,11.88333,1983-02-27,0
GAYA,Niger,3.45,11.88333,1983-02-28,0
GAYA,Niger,3.45,11.88333,1983-03-01,0
GAYA,Niger,3.45,11.88333,1983-03-02,2.143697
GAYA,Niger,3.45,11.88333,1983-03-03,0
GAYA,Niger,3.45,11.88333,1983-03-04,0
GAYA,Niger,3.45,11.88333,1983-03-05,0
GAYA,Niger,3.45,11.88333,1983-03-06,0
GAYA,Niger,3.45,11.88333,1983-03-07,0
GAYA,Niger,3.45,11.88333,1983-03-08,0
GAYA,Niger,3.45,11.88333,1983-03-09,0
GAYA,Niger,3.45,11.88333,1983-03-10,0
GAYA,Niger,3.45,11.88333,1983-03-11,0
GAYA,Niger,3.45,11.88333,1983-03-12,0
GAYA,Niger,3.45,11.88333,1983-03-13,0
GAYA,Niger,3.45,11.88333,1983-03-14,0
GAYA,Niger,3.45,11.88333,1983-03-15,0
GAYA,Niger,3.45,11.88333,1983-03-16,0
GAYA,Niger,3.45,11.88333,1983-03-17,0
GAYA,Niger,3.45,11.88333,1983-03-18,0
GAYA,Niger,3.45,11.88333,1983-03-19,0
GAYA,Niger,3.45,11.88333,1983-03-20,0
GAYA,Niger,3.45,11.88333,1983-03-21,0
GAYA,Niger,3.45,11.88333,1983-03-22,0
GAYA,Niger,3.45,11.88333,1983-03-23,0
GAYA,Niger,3.45,11.88333,1983-03-24,0
GAYA,Niger,3.45,11.88333,1983-03-25,0
GAYA,Niger,3.45,11.88333,1983-03-26,0
GAYA,Niger,3.45,11.88333,1983-03-27,0
GAYA,Niger,3.45,11.88333,1983-03-28,0
GAYA,Niger,3.45,11.88333,1983-03-29,2.47641
GAYA,Niger,3.45,11.88333,1983-03-30,
GAYA,Niger,3.45,11.88333,1983-03-31,0.8084004
GAYA,Niger,3.45,11.88333,1983-04-01,0
GAYA,Niger,3.45,11.88333,1983-04-02,0
GAYA,Niger,3.45,11.88333,1983-04-03,3.35214
GAYA,Niger,3.45,11.88333,1983-04-04,0
GAYA,Niger,3.45,11.88333,1983-04-05,0
GAYA,Niger,3.45,11.88333,1983-04-06,0
GAYA,Niger,3.45,11.88333,1983-04-07,0
GAYA,Niger,3.45,11.88333,1983-04-08,
GAYA,Niger,3.45,11.88333,1983-04-09,0
GAYA,Niger,3.45,11.88333,1983-04-10,0
GAYA,Niger,3.45,11.88333,1983-04-11,0
GAYA,Niger,3.45,11.88333,1983-04-12,0
GAYA,Niger,3.45,11.88333,1983-04-13,0
GAYA,Niger,3.45,11.88333,1983-04-14,0
GAYA,Niger,3.45,11.88333,1983-04-15,0
GAYA,Niger,3.45,11.88333,1983-04-16,0
GAYA,Niger,3.45,11.88333,1983-04-17,0
GAYA,Niger,3.45,11.88333,1983-04-18,0
GAYA,Niger,3.45,11.88333,1983-04-19,0
GAYA,Niger,3.45,11.88333,1983-04-20,0
GAYA,Niger,3.45,11.88333,1983-04-21,0
GAYA,Niger,3.45,11.88333,1983-04-22,0
GAYA,Niger,3.45,11.88333,1983-04-23,0
GAYA,Niger,3.45,11.88333,1983-04-24,0
GAYA,Niger,3.45,11.88333,1983-04-25,
GAYA,Niger,3.45,11.88333,1983-04-26,
GAYA,Niger,3.45,11.88333,1983-04-27,
GAYA,Niger,3.45,11.88333,1983-04-28,
GAYA,Niger,3.45,11.88333,1983-04-29,
GAYA,Niger,3.45,11.88333,1983-04-30,
GAYA,Niger,3.45,11.88333,1983-05-01,0
GAYA,Niger,3.45,11.88333,1983-05-02,0.7706233
GAYA,Niger,3.45,11.88333,1983-05-03,0
