Station,Country,Lon,Lat,Date,Precipitation
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-01,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-02,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-03,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-04,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-05,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-06,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-07,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-08,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-09,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-10,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-11,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-12,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-13,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-14,3.730765
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-15,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-16,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-17,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-18,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-19,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-20,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-21,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-22,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-23,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-24,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-25,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-26,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-27,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-28,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-29,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-30,
MAINE-SOROA,Niger,11.98333,13.23333,1983-01-31,
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-01,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-02,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-03,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-04,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-05,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-06,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-07,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-08,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-09,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-10,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-11,
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-12,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-13,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-14,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-15,
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-16,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-17,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-18,
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-19,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-20,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-21,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-22,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-23,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-24,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-25,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-26,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-27,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-02-28,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-03-01,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-03-02,0.5934768
MAINE-SOROA,Niger,11.98333,13.23333,1983-03-03,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-03-04,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-03-05,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-03-06,0
MAINE-SOROA,Niger,11.98333,13.23333,1983-03-07,0
