Station,Country,Lon,Lat,Date,Precipitation
MARADI,Niger,7.08333,13.46666,1983-01-01,0
MARADI,Niger,7.08333,13.46666,1983-01-02,0
MARADI,Niger,7.08333,13.46666,1983-01-03,0
MARADI,Niger,7.08333,13.46666,1983-01-04,
MARADI,Niger,7.08333,13.46666,1983-01-05,
MARADI,Niger,7.08333,13.46666,1983-01-06,
MARADI,Niger,7.08333,13.46666,1983-01-07,
MARADI,Niger,7.08333,13.46666,1983-01-08,
MARADI,Niger,7.08333,13.46666,1983-01-09,
MARADI,Niger,7.08333,13.46666,1983-01-10,0
MARADI,Niger,7.08333,13.46666,1983-01-11,0
MARADI,Niger,7.08333,13.46666,1983-01-12,0
MARADI,Niger,7.08333,13.46666,1983-01-13,0
MARADI,Niger,7.08333,13.46666,1983-01-14,0
MARADI,Niger,7.08333,13.46666,1983-01-15,0
MARADI,Niger,7.08333,13.46666,1983-01-16,
MARADI,Niger,7.08333,13.46666,1983-01-17,
MARADI,Niger,7.08333,13.46666,1983-01-18,
MARADI,Niger,7.08333,13.46666,1983-01-19,
MARADI,Niger,7.08333,13.46666,1983-01-20,
MARADI,Niger,7.08333,13.46666,1983-01-21,
MARADI,Niger,7.08333,13.46666,1983-01-22,
MARADI,Niger,7.08333,13.46666,1983-01-23,0
MARADI,Niger,7.08333,13.46666,1983-01-24,
MARADI,Niger,7.08333,13.46666,1983-01-25,
MARADI,Niger,7.08333,13.46666,1983-01-26,
MARADI,Niger,7.08333,13.46666,1983-01-27,
MARADI,Niger,7.08333,13.46666,1983-01-28,
MARADI,Niger,7.08333,13.46666,1983-01-29,0
MARADI,Niger,7.08333,13.46666,1983-01-30,
MARADI,Niger,7.08333,13.46666,1983-01-31,
MARADI,Niger,7.08333,13.46666,1983-02-01,0
MARADI,Niger,7.08333,13.46666,1983-02-02,0
MARADI,Niger,7.08333,13.46666,1983-02-03,0
MARADI,Niger,7.08333,13.46666,1983-02-04,0
MARADI,Niger,7.08333,13.46666,1983-02-05,0
MARADI,Niger,7.08333,13.46666,1983-02-06,0
MARADI,Niger,7.08333,13.46666,1983-02-07,0
MARADI,Niger,7.08333,13.46666,1983-02-08,0
MARADI,Niger,7.08333,13.46666,1983-02-09,0
MARADI,Niger,7.08333,13.46666,1983-02-10,0
MARADI,Niger,7.08333,13.46666,1983-02-11,
MARADI,Niger,7.08333,13.46666,1983-02-12,0
MARADI,Niger,7.08333,13.46666,1983-02-13,0
MARADI,Niger,7.08333,13.46666,1983-02-14,0
MARADI,Niger,7.08333,13.46666,1983-02-15,
MARADI,Niger,7.08333,13.46666,1983-02-16,0
MARADI,Niger,7.08333,13.46666,1983-02-17,0
MARADI,Niger,7.08333,13.46666,1983-02-18,
MARADI,Niger,7.08333,13.46666,1983-02-19,0
MARADI,Niger,7.08333,13.46666,1983-02-20,0
MARADI,Niger,7.08333,13.46666,1983-02-21,0
MARADI,Niger,7.08333,13.46666,1983-02-22,0
MARADI,Niger,7.08333,13.46666,1983-02-23,0
MARADI,Niger,7.08333,13.46666,1983-02-24,0
MARADI,Niger,7.08333,13.46666,1983-02-25,0
MARADI,Niger,7.08333,13.46666,1983-02-26,0
MARADI,Niger,7.08333,13.46666,1983-02-27,0
MARADI,Niger,7.08333,13.46666,1983-02-28,0
MARADI,Niger,7.08333,13.46666,1983-03-01,0
MARADI,Niger,7.08333,13.46666,1983-03-02,0.7241333
MARADI,Niger,7.08333,13.46666,1983-03-03,1.439183
MARADI,Niger,7.08333,13.46666,1983-03-04,0
MARADI,Niger,7.08333,13.46666,1983-03-05,0
MARADI,Niger,7.08333,13.46666,1983-03-06,0
MARADI,Niger,7.08333,13.46666,1983-03-07,0
MARADI,Niger,7.08333,13.46666,1983-03-08,0
MARADI,Niger,7.08333,13.46666,1983-03-09,0
MARADI,Niger,7.08333,13.46666,1983-03-10,0
MARADI,Niger,7.08333,13.46666,1983-03-11,0
MARADI,Niger,7.08333,13.46666,1983-03-12,0
