Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
AGADEZ,Niger,1983,6,15.3846153846154,-9.38461538461539,0,-9.38461538461539
AGADEZ,Niger,1984,0,15.3846153846154,-15.3846153846154,0,-15.3846153846154
AGADEZ,Niger,1985,14,15.3846153846154,-1.38461538461539,0,-1.38461538461539
AGADEZ,Niger,1986,17,15.3846153846154,1.61538461538462,1.61538461538462,0
AGADEZ,Niger,1987,5,15.3846153846154,-10.3846153846154,0,-10.3846153846154
AGADEZ,Niger,1988,19,15.3846153846154,3.61538461538462,3.61538461538462,0
AGADEZ,Niger,1989,9,15.3846153846154,-6.38461538461539,0,-6.38461538461539
AGADEZ,Niger,1990,5,15.3846153846154,-10.3846153846154,0,-10.3846153846154
AGADEZ,Niger,1991,13,15.3846153846154,-2.38461538461539,0,-2.38461538461539
AGADEZ,Niger,1992,23,15.3846153846154,7.61538461538462,7.61538461538462,0
AGADEZ,Niger,1993,8,15.3846153846154,-7.38461538461539,0,-7.38461538461539
AGADEZ,Niger,1994,22,15.3846153846154,6.61538461538462,6.61538461538462,0
AGADEZ,Niger,1995,6,15.3846153846154,-9.38461538461539,0,-9.38461538461539
AGADEZ,Niger,1996,8,15.3846153846154,-7.38461538461539,0,-7.38461538461539
AGADEZ,Niger,1997,15,15.3846153846154,-0.384615384615385,0,-0.384615384615385
AGADEZ,Niger,1998,19,15.3846153846154,3.61538461538462,3.61538461538462,0
AGADEZ,Niger,1999,15,15.3846153846154,-0.384615384615385,0,-0.384615384615385
AGADEZ,Niger,2000,9,15.3846153846154,-6.38461538461539,0,-6.38461538461539
AGADEZ,Niger,2001,13,15.3846153846154,-2.38461538461539,0,-2.38461538461539
AGADEZ,Niger,2002,14,15.3846153846154,-1.38461538461539,0,-1.38461538461539
AGADEZ,Niger,2003,22,15.3846153846154,6.61538461538462,6.61538461538462,0
AGADEZ,Niger,2004,14,15.3846153846154,-1.38461538461539,0,-1.38461538461539
AGADEZ,Niger,2005,18,15.3846153846154,2.61538461538462,2.61538461538462,0
AGADEZ,Niger,2006,16,15.3846153846154,0.615384615384615,0.615384615384615,0
AGADEZ,Niger,2007,17,15.3846153846154,1.61538461538462,1.61538461538462,0
AGADEZ,Niger,2008,17,15.3846153846154,1.61538461538462,1.61538461538462,0
AGADEZ,Niger,2009,14,15.3846153846154,-1.38461538461539,0,-1.38461538461539
AGADEZ,Niger,2010,18,15.3846153846154,2.61538461538462,2.61538461538462,0
AGADEZ,Niger,2011,17,15.3846153846154,1.61538461538462,1.61538461538462,0
AGADEZ,Niger,2012,26,15.3846153846154,10.6153846153846,10.6153846153846,0
AGADEZ,Niger,2013,13,15.3846153846154,-2.38461538461539,0,-2.38461538461539
AGADEZ,Niger,2014,18,15.3846153846154,2.61538461538462,2.61538461538462,0
AGADEZ,Niger,2015,17,15.3846153846154,1.61538461538462,1.61538461538462,0
AGADEZ,Niger,2016,18,15.3846153846154,2.61538461538462,2.61538461538462,0
AGADEZ,Niger,2017,22,15.3846153846154,6.61538461538462,6.61538461538462,0
AGADEZ,Niger,2018,20,15.3846153846154,4.61538461538462,4.61538461538462,0
AGADEZ,Niger,2019,21,15.3846153846154,5.61538461538462,5.61538461538462,0
AGADEZ,Niger,2020,32,15.3846153846154,16.6153846153846,16.6153846153846,0
AGADEZ,Niger,2021,20,15.3846153846154,4.61538461538462,4.61538461538462,0
