Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
DOSSO,Niger,1983,45,50.1794871794872,-5.17948717948718,0,-5.17948717948718
DOSSO,Niger,1984,40,50.1794871794872,-10.1794871794872,0,-10.1794871794872
DOSSO,Niger,1985,36,50.1794871794872,-14.1794871794872,0,-14.1794871794872
DOSSO,Niger,1986,38,50.1794871794872,-12.1794871794872,0,-12.1794871794872
DOSSO,Niger,1987,32,50.1794871794872,-18.1794871794872,0,-18.1794871794872
DOSSO,Niger,1988,43,50.1794871794872,-7.17948717948718,0,-7.17948717948718
DOSSO,Niger,1989,42,50.1794871794872,-8.17948717948718,0,-8.17948717948718
DOSSO,Niger,1990,35,50.1794871794872,-15.1794871794872,0,-15.1794871794872
DOSSO,Niger,1991,38,50.1794871794872,-12.1794871794872,0,-12.1794871794872
DOSSO,Niger,1992,48,50.1794871794872,-2.17948717948718,0,-2.17948717948718
DOSSO,Niger,1993,38,50.1794871794872,-12.1794871794872,0,-12.1794871794872
DOSSO,Niger,1994,54,50.1794871794872,3.82051282051282,3.82051282051282,0
DOSSO,Niger,1995,43,50.1794871794872,-7.17948717948718,0,-7.17948717948718
DOSSO,Niger,1996,41,50.1794871794872,-9.17948717948718,0,-9.17948717948718
DOSSO,Niger,1997,49,50.1794871794872,-1.17948717948718,0,-1.17948717948718
DOSSO,Niger,1998,56,50.1794871794872,5.82051282051282,5.82051282051282,0
DOSSO,Niger,1999,60,50.1794871794872,9.82051282051282,9.82051282051282,0
DOSSO,Niger,2000,52,50.1794871794872,1.82051282051282,1.82051282051282,0
DOSSO,Niger,2001,55,50.1794871794872,4.82051282051282,4.82051282051282,0
DOSSO,Niger,2002,61,50.1794871794872,10.8205128205128,10.8205128205128,0
DOSSO,Niger,2003,56,50.1794871794872,5.82051282051282,5.82051282051282,0
DOSSO,Niger,2004,50,50.1794871794872,-0.179487179487182,0,-0.179487179487182
DOSSO,Niger,2005,56,50.1794871794872,5.82051282051282,5.82051282051282,0
DOSSO,Niger,2006,49,50.1794871794872,-1.17948717948718,0,-1.17948717948718
DOSSO,Niger,2007,50,50.1794871794872,-0.179487179487182,0,-0.179487179487182
DOSSO,Niger,2008,55,50.1794871794872,4.82051282051282,4.82051282051282,0
DOSSO,Niger,2009,51,50.1794871794872,0.820512820512818,0.820512820512818,0
DOSSO,Niger,2010,61,50.1794871794872,10.8205128205128,10.8205128205128,0
DOSSO,Niger,2011,49,50.1794871794872,-1.17948717948718,0,-1.17948717948718
DOSSO,Niger,2012,51,50.1794871794872,0.820512820512818,0.820512820512818,0
DOSSO,Niger,2013,54,50.1794871794872,3.82051282051282,3.82051282051282,0
DOSSO,Niger,2014,52,50.1794871794872,1.82051282051282,1.82051282051282,0
DOSSO,Niger,2015,60,50.1794871794872,9.82051282051282,9.82051282051282,0
DOSSO,Niger,2016,57,50.1794871794872,6.82051282051282,6.82051282051282,0
DOSSO,Niger,2017,53,50.1794871794872,2.82051282051282,2.82051282051282,0
DOSSO,Niger,2018,57,50.1794871794872,6.82051282051282,6.82051282051282,0
DOSSO,Niger,2019,58,50.1794871794872,7.82051282051282,7.82051282051282,0
DOSSO,Niger,2020,72,50.1794871794872,21.8205128205128,21.8205128205128,0
DOSSO,Niger,2021,60,50.1794871794872,9.82051282051282,9.82051282051282,0
