Country,Station,Year,Number_Rain_day
Niger,AGADEZ,1983,6
Niger,AGADEZ,1984,0
Niger,AGADEZ,1985,14
Niger,AGADEZ,1986,17
Niger,AGADEZ,1987,5
Niger,AGADEZ,1988,19
Niger,AGADEZ,1989,9
Niger,AGADEZ,1990,5
Niger,AGADEZ,1991,13
Niger,AGADEZ,1992,23
Niger,AGADEZ,1993,8
Niger,AGADEZ,1994,22
Niger,AGADEZ,1995,6
Niger,AGADEZ,1996,8
Niger,AGADEZ,1997,15
Niger,AGADEZ,1998,19
Niger,AGADEZ,1999,15
Niger,AGADEZ,2000,9
Niger,AGADEZ,2001,13
Niger,AGADEZ,2002,14
Niger,AGADEZ,2003,22
Niger,AGADEZ,2004,14
Niger,AGADEZ,2005,18
Niger,AGADEZ,2006,16
Niger,AGADEZ,2007,17
Niger,AGADEZ,2008,17
Niger,AGADEZ,2009,14
Niger,AGADEZ,2010,18
Niger,AGADEZ,2011,17
Niger,AGADEZ,2012,26
Niger,AGADEZ,2013,13
Niger,AGADEZ,2014,18
Niger,AGADEZ,2015,17
Niger,AGADEZ,2016,18
Niger,AGADEZ,2017,22
Niger,AGADEZ,2018,20
Niger,AGADEZ,2019,21
Niger,AGADEZ,2020,32
Niger,AGADEZ,2021,20
Niger,AGADEZ,2022,0
