Country,Station,Year,Number_Rain_day
Niger,BILMA,1983,0
Niger,BILMA,1984,3
Niger,BILMA,1985,1
Niger,BILMA,1986,1
Niger,BILMA,1987,1
Niger,BILMA,1988,3
Niger,BILMA,1989,1
Niger,BILMA,1990,1
Niger,BILMA,1991,1
Niger,BILMA,1992,5
Niger,BILMA,1993,2
Niger,BILMA,1994,2
Niger,BILMA,1995,4
Niger,BILMA,1996,1
Niger,BILMA,1997,5
Niger,BILMA,1998,2
Niger,BILMA,1999,1
Niger,BILMA,2000,1
Niger,BILMA,2001,1
Niger,BILMA,2002,0
Niger,BILMA,2003,4
Niger,BILMA,2004,4
Niger,BILMA,2005,3
Niger,BILMA,2006,2
Niger,BILMA,2007,2
Niger,BILMA,2008,1
Niger,BILMA,2009,3
Niger,BILMA,2010,1
Niger,BILMA,2011,2
Niger,BILMA,2012,1
Niger,BILMA,2013,3
Niger,BILMA,2014,3
Niger,BILMA,2015,2
Niger,BILMA,2016,6
Niger,BILMA,2017,5
Niger,BILMA,2018,3
Niger,BILMA,2019,6
Niger,BILMA,2020,3
Niger,BILMA,2021,0
Niger,BILMA,2022,2
