Country,Station,Year,Number_Rain_day
Niger,DIFFA,1983,22
Niger,DIFFA,1984,22
Niger,DIFFA,1985,34
Niger,DIFFA,1986,32
Niger,DIFFA,1987,23
Niger,DIFFA,1988,43
Niger,DIFFA,1989,32
Niger,DIFFA,1990,25
Niger,DIFFA,1991,36
Niger,DIFFA,1992,36
Niger,DIFFA,1993,25
Niger,DIFFA,1994,45
Niger,DIFFA,1995,35
Niger,DIFFA,1996,29
Niger,DIFFA,1997,33
Niger,DIFFA,1998,33
Niger,DIFFA,1999,37
Niger,DIFFA,2000,31
Niger,DIFFA,2001,32
Niger,DIFFA,2002,30
Niger,DIFFA,2003,36
Niger,DIFFA,2004,20
Niger,DIFFA,2005,33
Niger,DIFFA,2006,31
Niger,DIFFA,2007,27
Niger,DIFFA,2008,31
Niger,DIFFA,2009,32
Niger,DIFFA,2010,38
Niger,DIFFA,2011,35
Niger,DIFFA,2012,45
Niger,DIFFA,2013,29
Niger,DIFFA,2014,29
Niger,DIFFA,2015,32
Niger,DIFFA,2016,30
Niger,DIFFA,2017,28
Niger,DIFFA,2018,39
Niger,DIFFA,2019,44
Niger,DIFFA,2020,47
Niger,DIFFA,2021,41
Niger,DIFFA,2022,3
