Country,Station,Year,Number_Rain_day
Niger,DOSSO,1983,45
Niger,DOSSO,1984,40
Niger,DOSSO,1985,36
Niger,DOSSO,1986,38
Niger,DOSSO,1987,32
Niger,DOSSO,1988,43
Niger,DOSSO,1989,42
Niger,DOSSO,1990,35
Niger,DOSSO,1991,38
Niger,DOSSO,1992,48
Niger,DOSSO,1993,38
Niger,DOSSO,1994,54
Niger,DOSSO,1995,43
Niger,DOSSO,1996,41
Niger,DOSSO,1997,49
Niger,DOSSO,1998,56
Niger,DOSSO,1999,60
Niger,DOSSO,2000,52
Niger,DOSSO,2001,55
Niger,DOSSO,2002,61
Niger,DOSSO,2003,56
Niger,DOSSO,2004,50
Niger,DOSSO,2005,56
Niger,DOSSO,2006,49
Niger,DOSSO,2007,50
Niger,DOSSO,2008,55
Niger,DOSSO,2009,51
Niger,DOSSO,2010,61
Niger,DOSSO,2011,49
Niger,DOSSO,2012,51
Niger,DOSSO,2013,54
Niger,DOSSO,2014,52
Niger,DOSSO,2015,60
Niger,DOSSO,2016,57
Niger,DOSSO,2017,53
Niger,DOSSO,2018,57
Niger,DOSSO,2019,58
Niger,DOSSO,2020,72
Niger,DOSSO,2021,60
Niger,DOSSO,2022,1
