Country,Station,Year,Number_Rain_day
Niger,GAYA,1983,58
Niger,GAYA,1984,53
Niger,GAYA,1985,58
Niger,GAYA,1986,66
Niger,GAYA,1987,62
Niger,GAYA,1988,73
Niger,GAYA,1989,65
Niger,GAYA,1990,59
Niger,GAYA,1991,67
Niger,GAYA,1992,67
Niger,GAYA,1993,55
Niger,GAYA,1994,87
Niger,GAYA,1995,57
Niger,GAYA,1996,60
Niger,GAYA,1997,71
Niger,GAYA,1998,76
Niger,GAYA,1999,76
Niger,GAYA,2000,58
Niger,GAYA,2001,69
Niger,GAYA,2002,68
Niger,GAYA,2003,73
Niger,GAYA,2004,67
Niger,GAYA,2005,68
Niger,GAYA,2006,69
Niger,GAYA,2007,59
Niger,GAYA,2008,65
Niger,GAYA,2009,65
Niger,GAYA,2010,73
Niger,GAYA,2011,70
Niger,GAYA,2012,70
Niger,GAYA,2013,63
Niger,GAYA,2014,65
Niger,GAYA,2015,72
Niger,GAYA,2016,69
Niger,GAYA,2017,82
Niger,GAYA,2018,78
Niger,GAYA,2019,81
Niger,GAYA,2020,91
Niger,GAYA,2021,83
Niger,GAYA,2022,4
