Country,Station,Year,Number_Rain_day
Niger,GOURE,1983,22
Niger,GOURE,1984,13
Niger,GOURE,1985,21
Niger,GOURE,1986,25
Niger,GOURE,1987,16
Niger,GOURE,1988,26
Niger,GOURE,1989,27
Niger,GOURE,1990,27
Niger,GOURE,1991,29
Niger,GOURE,1992,30
Niger,GOURE,1993,28
Niger,GOURE,1994,33
Niger,GOURE,1995,25
Niger,GOURE,1996,20
Niger,GOURE,1997,28
Niger,GOURE,1998,30
Niger,GOURE,1999,33
Niger,GOURE,2000,29
Niger,GOURE,2001,30
Niger,GOURE,2002,31
Niger,GOURE,2003,33
Niger,GOURE,2004,28
Niger,GOURE,2005,31
Niger,GOURE,2006,34
Niger,GOURE,2007,27
Niger,GOURE,2008,30
Niger,GOURE,2009,24
Niger,GOURE,2010,35
Niger,GOURE,2011,35
Niger,GOURE,2012,42
Niger,GOURE,2013,31
Niger,GOURE,2014,24
Niger,GOURE,2015,29
Niger,GOURE,2016,35
Niger,GOURE,2017,27
Niger,GOURE,2018,38
Niger,GOURE,2019,33
Niger,GOURE,2020,46
Niger,GOURE,2021,39
Niger,GOURE,2022,2
