Country,Station,Year,Number_Rain_day
Niger,MAGARIA,1983,32
Niger,MAGARIA,1984,30
Niger,MAGARIA,1985,40
Niger,MAGARIA,1986,46
Niger,MAGARIA,1987,38
Niger,MAGARIA,1988,52
Niger,MAGARIA,1989,41
Niger,MAGARIA,1990,31
Niger,MAGARIA,1991,43
Niger,MAGARIA,1992,50
Niger,MAGARIA,1993,46
Niger,MAGARIA,1994,55
Niger,MAGARIA,1995,45
Niger,MAGARIA,1996,38
Niger,MAGARIA,1997,61
Niger,MAGARIA,1998,48
Niger,MAGARIA,1999,39
Niger,MAGARIA,2000,42
Niger,MAGARIA,2001,63
Niger,MAGARIA,2002,47
Niger,MAGARIA,2003,52
Niger,MAGARIA,2004,43
Niger,MAGARIA,2005,46
Niger,MAGARIA,2006,50
Niger,MAGARIA,2007,43
Niger,MAGARIA,2008,45
Niger,MAGARIA,2009,45
Niger,MAGARIA,2010,52
Niger,MAGARIA,2011,44
Niger,MAGARIA,2012,58
Niger,MAGARIA,2013,46
Niger,MAGARIA,2014,44
Niger,MAGARIA,2015,38
Niger,MAGARIA,2016,44
Niger,MAGARIA,2017,42
Niger,MAGARIA,2018,51
Niger,MAGARIA,2019,52
Niger,MAGARIA,2020,64
Niger,MAGARIA,2021,53
Niger,MAGARIA,2022,6
