Country,Station,Year,Number_Rain_day
Niger,MAINE-SOROA,1983,23
Niger,MAINE-SOROA,1984,25
Niger,MAINE-SOROA,1985,25
Niger,MAINE-SOROA,1986,23
Niger,MAINE-SOROA,1987,20
Niger,MAINE-SOROA,1988,39
Niger,MAINE-SOROA,1989,20
Niger,MAINE-SOROA,1990,24
Niger,MAINE-SOROA,1991,32
Niger,MAINE-SOROA,1992,30
Niger,MAINE-SOROA,1993,19
Niger,MAINE-SOROA,1994,38
Niger,MAINE-SOROA,1995,27
Niger,MAINE-SOROA,1996,36
Niger,MAINE-SOROA,1997,34
Niger,MAINE-SOROA,1998,25
Niger,MAINE-SOROA,1999,36
Niger,MAINE-SOROA,2000,28
Niger,MAINE-SOROA,2001,39
Niger,MAINE-SOROA,2002,35
Niger,MAINE-SOROA,2003,36
Niger,MAINE-SOROA,2004,22
Niger,MAINE-SOROA,2005,27
Niger,MAINE-SOROA,2006,31
Niger,MAINE-SOROA,2007,27
Niger,MAINE-SOROA,2008,29
Niger,MAINE-SOROA,2009,31
Niger,MAINE-SOROA,2010,36
Niger,MAINE-SOROA,2011,32
Niger,MAINE-SOROA,2012,39
Niger,MAINE-SOROA,2013,28
Niger,MAINE-SOROA,2014,27
Niger,MAINE-SOROA,2015,25
Niger,MAINE-SOROA,2016,35
Niger,MAINE-SOROA,2017,24
Niger,MAINE-SOROA,2018,37
Niger,MAINE-SOROA,2019,39
Niger,MAINE-SOROA,2020,48
Niger,MAINE-SOROA,2021,40
Niger,MAINE-SOROA,2022,3
