Country,Station,Year,Number_Rain_day
Niger,MARADI,1983,30
Niger,MARADI,1984,38
Niger,MARADI,1985,30
Niger,MARADI,1986,45
Niger,MARADI,1987,46
Niger,MARADI,1988,49
Niger,MARADI,1989,42
Niger,MARADI,1990,48
Niger,MARADI,1991,63
Niger,MARADI,1992,47
Niger,MARADI,1993,42
Niger,MARADI,1994,54
Niger,MARADI,1995,42
Niger,MARADI,1996,43
Niger,MARADI,1997,54
Niger,MARADI,1998,52
Niger,MARADI,1999,42
Niger,MARADI,2000,48
Niger,MARADI,2001,52
Niger,MARADI,2002,57
Niger,MARADI,2003,57
Niger,MARADI,2004,49
Niger,MARADI,2005,47
Niger,MARADI,2006,52
Niger,MARADI,2007,45
Niger,MARADI,2008,50
Niger,MARADI,2009,44
Niger,MARADI,2010,57
Niger,MARADI,2011,45
Niger,MARADI,2012,57
Niger,MARADI,2013,51
Niger,MARADI,2014,42
Niger,MARADI,2015,44
Niger,MARADI,2016,52
Niger,MARADI,2017,40
Niger,MARADI,2018,57
Niger,MARADI,2019,57
Niger,MARADI,2020,65
Niger,MARADI,2021,62
Niger,MARADI,2022,3
