Country,Station,Year,Number_Rain_day
Niger,NIAMEY-AERO,1983,36
Niger,NIAMEY-AERO,1984,29
Niger,NIAMEY-AERO,1985,31
Niger,NIAMEY-AERO,1986,34
Niger,NIAMEY-AERO,1987,36
Niger,NIAMEY-AERO,1988,33
Niger,NIAMEY-AERO,1989,27
Niger,NIAMEY-AERO,1990,31
Niger,NIAMEY-AERO,1991,36
Niger,NIAMEY-AERO,1992,36
Niger,NIAMEY-AERO,1993,37
Niger,NIAMEY-AERO,1994,56
Niger,NIAMEY-AERO,1995,45
Niger,NIAMEY-AERO,1996,40
Niger,NIAMEY-AERO,1997,26
Niger,NIAMEY-AERO,1998,48
Niger,NIAMEY-AERO,1999,46
Niger,NIAMEY-AERO,2000,42
Niger,NIAMEY-AERO,2001,44
Niger,NIAMEY-AERO,2002,56
Niger,NIAMEY-AERO,2003,46
Niger,NIAMEY-AERO,2004,34
Niger,NIAMEY-AERO,2005,43
Niger,NIAMEY-AERO,2006,43
Niger,NIAMEY-AERO,2007,46
Niger,NIAMEY-AERO,2008,41
Niger,NIAMEY-AERO,2009,40
Niger,NIAMEY-AERO,2010,51
Niger,NIAMEY-AERO,2011,34
Niger,NIAMEY-AERO,2012,45
Niger,NIAMEY-AERO,2013,49
Niger,NIAMEY-AERO,2014,41
Niger,NIAMEY-AERO,2015,47
Niger,NIAMEY-AERO,2016,47
Niger,NIAMEY-AERO,2017,41
Niger,NIAMEY-AERO,2018,41
Niger,NIAMEY-AERO,2019,45
Niger,NIAMEY-AERO,2020,58
Niger,NIAMEY-AERO,2021,57
Niger,NIAMEY-AERO,2022,1
