Country,Station,Year,Number_Rain_day
Niger,N_GUIGMI,1983,22
Niger,N_GUIGMI,1984,15
Niger,N_GUIGMI,1985,20
Niger,N_GUIGMI,1986,25
Niger,N_GUIGMI,1987,17
Niger,N_GUIGMI,1988,36
Niger,N_GUIGMI,1989,19
Niger,N_GUIGMI,1990,20
Niger,N_GUIGMI,1991,24
Niger,N_GUIGMI,1992,26
Niger,N_GUIGMI,1993,15
Niger,N_GUIGMI,1994,37
Niger,N_GUIGMI,1995,33
Niger,N_GUIGMI,1996,25
Niger,N_GUIGMI,1997,31
Niger,N_GUIGMI,1998,28
Niger,N_GUIGMI,1999,29
Niger,N_GUIGMI,2000,28
Niger,N_GUIGMI,2001,23
Niger,N_GUIGMI,2002,23
Niger,N_GUIGMI,2003,35
Niger,N_GUIGMI,2004,21
Niger,N_GUIGMI,2005,24
Niger,N_GUIGMI,2006,22
Niger,N_GUIGMI,2007,28
Niger,N_GUIGMI,2008,26
Niger,N_GUIGMI,2009,22
Niger,N_GUIGMI,2010,36
Niger,N_GUIGMI,2011,29
Niger,N_GUIGMI,2012,30
Niger,N_GUIGMI,2013,24
Niger,N_GUIGMI,2014,26
Niger,N_GUIGMI,2015,20
Niger,N_GUIGMI,2016,32
Niger,N_GUIGMI,2017,28
Niger,N_GUIGMI,2018,35
Niger,N_GUIGMI,2019,33
Niger,N_GUIGMI,2020,45
Niger,N_GUIGMI,2021,32
Niger,N_GUIGMI,2022,0
