Country,Station,Year,Number_Rain_day
Niger,TAHOUA,1983,33
Niger,TAHOUA,1984,24
Niger,TAHOUA,1985,33
Niger,TAHOUA,1986,46
Niger,TAHOUA,1987,43
Niger,TAHOUA,1988,48
Niger,TAHOUA,1989,44
Niger,TAHOUA,1990,36
Niger,TAHOUA,1991,61
Niger,TAHOUA,1992,51
Niger,TAHOUA,1993,41
Niger,TAHOUA,1994,56
Niger,TAHOUA,1995,50
Niger,TAHOUA,1996,51
Niger,TAHOUA,1997,44
Niger,TAHOUA,1998,37
Niger,TAHOUA,1999,50
Niger,TAHOUA,2000,49
Niger,TAHOUA,2001,38
Niger,TAHOUA,2002,53
Niger,TAHOUA,2003,52
Niger,TAHOUA,2004,43
Niger,TAHOUA,2005,40
Niger,TAHOUA,2006,45
Niger,TAHOUA,2007,44
Niger,TAHOUA,2008,48
Niger,TAHOUA,2009,46
Niger,TAHOUA,2010,52
Niger,TAHOUA,2011,42
Niger,TAHOUA,2012,44
Niger,TAHOUA,2013,47
Niger,TAHOUA,2014,42
Niger,TAHOUA,2015,54
Niger,TAHOUA,2016,59
Niger,TAHOUA,2017,42
Niger,TAHOUA,2018,50
Niger,TAHOUA,2019,52
Niger,TAHOUA,2020,56
Niger,TAHOUA,2021,48
Niger,TAHOUA,2022,1
